,Hotline Bling_Drake
0,introyou
1,used
2,call
3,me
4,myyou
5,used
6,you
7,used
8,toyeahchorusyou
9,used
10,call
11,me
12,my
13,cell
14,phonelate
15,night
16,you
17,need
18,my
19,lovecall
20,me
21,my
22,cell
23,phonelate
24,night
25,you
26,need
27,my
28,loveand
29,i
30,know
31,hotline
32,blingthat
33,mean
34,one
35,thingi
36,know
37,hotline
38,blingthat
39,mean
40,one
41,thingverse
42,1ever
43,since
44,i
45,left
46,city
47,yougot
48,reputation
49,yourself
50,noweverybody
51,knows
52,i
53,feel
54,left
55,outgirl
56,you
57,got
58,me
59,you
60,got
61,me
62,stressed
63,out‘cause
64,ever
65,since
66,i
67,left
68,city
69,youstarted
70,wearing
71,less
72,goin
73,moreglasses
74,champagne
75,dance
76,floorhangin
77,girls
78,ive
79,never
80,seen
81,beforechorusyou
82,used
83,call
84,me
85,my
86,cell
87,phonelate
88,night
89,you
90,need
91,my
92,lovecall
93,me
94,my
95,cell
96,phonelate
97,night
98,you
99,need
100,my
101,lovei
102,know
103,hotline
104,blingthat
105,mean
106,one
107,thingi
108,know
109,hotline
110,blingthat
111,mean
112,one
113,thingverse
114,2ever
115,since
116,i
117,left
118,city
119,you
120,you
121,youyou
122,me
123,dont
124,get
125,alongyou
126,make
127,me
128,feel
129,like
130,i
131,you
132,wronggoing
133,places
134,you
135,dont
136,belongever
137,since
138,i
139,left
140,city
141,youyou
142,got
143,exactly
144,you
145,asked
146,forrunning
147,pages
148,your
149,passporthangin
150,girls
151,ive
152,never
153,seen
154,beforechorusyou
155,used
156,call
157,me
158,my
159,cell
160,phonelate
161,night
162,you
163,need
164,my
165,lovecall
166,me
167,my
168,cell
169,phonelate
170,night
171,you
172,need
173,my
174,loveand
175,i
176,know
177,hotline
178,blingthat
179,mean
180,one
181,thingi
182,know
183,hotline
184,blingthat
185,mean
186,one
187,thingbridgethese
188,days
189,i
190,iswonder
191,youre
192,bendin
193,backwards
194,someone
195,elsewonder
196,youre
197,rolling
198,backwoods
199,someone
200,elsedoing
201,things
202,i
203,taught
204,you
205,gettin
206,nasty
207,someone
208,elseyou
209,dont
210,need
211,one
212,elseyou
213,dont
214,need
215,nobody
216,else
217,nowhy
218,you
219,never
220,alonewhy
221,you
222,always
223,touching
224,roadused
225,always
226,stay
227,homebe
228,good
229,girl
230,you
231,zoneyeah
232,you
233,yourselfright
234,youre
235,someone
236,elsechorusyou
237,used
238,call
239,me
240,my
241,cell
242,phonelate
243,night
244,you
245,need
246,my
247,lovecall
248,me
249,my
250,cell
251,phonelate
252,night
253,you
254,need
255,my
256,loveand
257,i
258,know
259,hotline
260,blingthat
261,mean
262,one
263,thingi
264,know
265,hotline
266,blingthat
267,mean
268,one
269,thingoutroever
270,since
271,i
272,left
273,city…produced
274,nineteen85
