,Open Your Eyes_Snow Patrol
0,feels
1,strange
2,untrue
3,i
4,waste
5,minute
6,without
7,you
8,my
9,bones
10,ache
11,my
12,skin
13,feels
14,cold
15,i'm
16,getting
17,tired
18,old
19,anger
20,swells
21,my
22,guts
23,i
24,feel
25,slices
26,cuts
27,i
28,want
29,much
30,open
31,your
32,eyes
33,cause
34,i
35,need
36,you
37,look
38,mine
39,tell
40,me
41,you'll
42,open
43,your
44,eyes
45,tell
46,me
47,you'll
48,open
49,your
50,eyes
51,tell
52,me
53,you'll
54,open
55,your
56,eyes
57,tell
58,me
59,you'll
60,open
61,your
62,eyes
63,get
64,get
65,get
66,away
67,liars
68,cause
69,get
70,your
71,soul
72,your
73,fire
74,take
75,my
76,hand
77,knot
78,your
79,fingers
80,mine
81,we'll
82,walk
83,dark
84,room
85,last
86,time
87,every
88,minute
89,minute
90,like
91,anywhere
92,i
93,want
94,much
95,open
96,your
97,eyes
98,cause
99,i
100,need
101,you
102,look
103,mine
104,tell
105,me
106,you'll
107,open
108,your
109,eyes
110,tell
111,me
112,you'll
113,open
114,your
115,eyes
116,tell
117,me
118,you'll
119,open
120,your
121,eyes
122,tell
123,me
124,you'll
125,open
126,your
127,eyes
128,tell
129,me
130,you'll
131,open
132,your
133,eyes
134,tell
135,me
136,you'll
137,open
138,your
139,eyes
140,tell
141,me
142,you'll
143,open
144,your
145,eyes
146,tell
147,me
148,you'll
149,open
150,your
151,eyes
152,feels
153,strange
154,untrue
155,i
156,waste
157,minute
158,without
159,you
