,For Me This Is Heaven_Jimmy Eat World
0,first
1,star
2,i
3,see
4,may
5,star
6,can't
7,thing
8,wait
9,let's
10,wait
11,one
12,time
13,clumsy
14,time
15,deciding
16,time
17,i'm
18,careful
19,sure
20,goes
21,you
22,lose
23,yourself
24,your
25,courage
26,time
27,ends
28,big
29,hand
30,goes
31,round
32,you
33,still
34,feel
35,butterflies
36,you
37,still
38,hear
39,last
40,goodnight
41,mindless
42,comfort
43,grows
44,i'm
45,alone
46,my
47,great
48,plans
49,she
50,said
51,gets
52,her
53,i
54,let
55,myself
56,happy
57,time
58,ends
59,big
60,hand
61,goes
62,round
63,you
64,still
65,feel
66,butterflies
67,you
68,still
69,hear
70,last
71,goodnight
72,i
73,close
74,my
75,eyes
76,believe
77,wherever
78,you
79,angel
80,me
81,time
82,ends
83,big
84,hand
85,goes
86,round
87,you
88,still
89,feel
90,butterflies
91,you
92,still
93,hear
94,last
95,goodnight
