,Lua_Bright Eyes
0,i
1,know
2,freezing
3,i
4,think
5,walk
6,keep
7,waving
8,taxis
9,keep
10,turning
11,lights
12,julie
13,knows
14,party
15,actor's
16,west
17,side
18,loft
19,supplies
20,endless
21,evening
22,morning
23,they'll
24,gone
25,everything
26,lonely
27,i
28,my
29,best
30,friend
31,i
32,get
33,coffee
34,paper
35,my
36,conversations
37,sidewalk
38,pigeons
39,my
40,window
41,reflection
42,mask
43,i
44,polish
45,evening
46,morning
47,looks
48,like
49,shit
50,i
51,know
52,you
53,heavy
54,heart
55,i
56,feel
57,kiss
58,many
59,men
60,stronger
61,me
62,thrown
63,backs
64,trying
65,lift
66,me
67,i'm
68,gamble
69,you
70,count
71,me
72,split
73,love
74,i
75,sell
76,you
77,evening
78,morning
79,exist
80,you
81,looking
82,skinny
83,like
84,model
85,your
86,eyes
87,painted
88,black
89,keep
90,going
91,bathroom
92,say
93,you'll
94,right
95,back
96,well
97,takes
98,one
99,know
100,one
101,kid
102,i
103,think
104,you've
105,got
106,bad
107,what's
108,easy
109,evening
110,morning
111,drag
112,got
113,flask
114,inside
115,my
116,pocket
117,share
118,train
119,you
120,promise
121,stay
122,conscious
123,i'll
124,try
125,well
126,might
127,die
128,medication
129,sure
130,killed
131,pain
132,normal
133,evening
134,morning
135,seems
136,insane
137,i'm
138,sure
139,trouble
140,started
141,reasons
142,run
143,away
144,feeling
145,never
146,something
147,i
148,would
149,recommend
150,one
151,way
152,live
153,cause
154,simple
155,moonlight
156,morning
157,never
158,simple
159,moonlight
160,complicated
161,simple
162,moonlight
163,simple
164,moonlight
165,simple
166,moonlight
