,Glory of Love_Peter Cetera
0,tonight
1,clear
2,'cause
3,we're
4,lying
5,there's
6,many
7,things
8,i
9,wanna
10,say
11,i
12,always
13,love
14,you
15,i
16,would
17,never
18,leave
19,you
20,alone
21,sometimes
22,i
23,forget
24,say
25,things
26,i
27,might
28,regret
29,breaks
30,my
31,heart
32,see
33,you
34,crying
35,i
36,wanna
37,lose
38,you
39,i
40,could
41,never
42,make
43,alone
44,i
45,man
46,fight
47,your
48,honor
49,i'll
50,hero
51,you're
52,dreaming
53,we'll
54,live
55,forever
56,knowing
57,together
58,glory
59,love
60,you
61,keep
62,me
63,standing
64,tall
65,you
66,help
67,me
68,i'm
69,always
70,strong
71,you're
72,beside
73,me
74,i
75,always
76,needed
77,you
78,i
79,could
80,never
81,make
82,alone
83,i
84,man
85,fight
86,your
87,honor
88,i'll
89,hero
90,you've
91,dreaming
92,we'll
93,live
94,forever
95,knowing
96,together
97,glory
98,love
99,like
100,knight
101,shining
102,armor
103,long
104,time
105,ago
106,time
107,i
108,save
109,day
110,take
111,you
112,my
113,castle
114,far
115,away
116,i
117,man
118,fight
119,your
120,honor
121,i'll
122,hero
123,your
124,dreaming
125,we're
126,gonna
127,live
128,ever
129,knowing
130,together
131,glory
132,love
133,we'll
134,live
135,forever
136,knowing
137,together
138,glory
139,love
140,love
141,love
142,love
143,love
