,Bullet Proof...I Wish I Was_Radiohead
0,limb
1,limb
2,tooth
3,tooth
4,stirring
5,inside
6,me
7,every
8,day
9,every
10,hour
11,wish
12,i
13,bulletproof
14,wax
15,me
16,mould
17,me
18,heat
19,pins
20,stab
21,you
22,turned
23,me
24,wish
25,bulletproof
26,bulletproof
27,pay
28,me
29,money
30,take
31,shot
32,lead
33,fill
34,hole
35,me
36,i
37,could
38,burst
39,million
40,bubbles
41,surrogate
42,bulletproof
43,bulletproof
44,bulletproof
45,bulletproof
