,Save Me_Nicki Minaj
0,drove
1,miles
2,find
3,find
4,screams
5,voices
6,head
7,gave
8,strength
9,gave
10,hope
11,lifetime
12,never
13,satisfied
14,hook
15,time
16,save
17,time
18,save
19,baby
20,feel
21,givin'
22,givin'
23,time
24,save
25,time
26,save
27,baby
28,feel
29,givin'
30,givin'
31,givin'
32,givin'
33,givin'
34,fault
35,i'm
36,bitch
37,i'm
38,monster
39,yes
40,i'm
41,beast
42,feast
43,conquer
44,i'm
45,alone
46,throne
47,riches
48,came
49,way
50,way
51,say
52,aye
53,hook
54,time
55,save
56,time
57,save
58,baby
59,feel
60,givin'
61,givin'
62,time
63,save
64,time
65,save
66,baby
67,feel
68,givin'
69,givin'
70,givin'
71,givin'
72,givin'
73,hook
74,i'm
75,givin'
76,baby
77,yes
78,i'm
79,givin'
80,baby
81,feels
82,like
83,i've
84,drivin'
85,miles
86,yeah
87,i've
88,givin'
89,baby
90,can't
91,seem
92,silence
93,voices
94,head
95,time
96,save
97,come
98,save
99,time
100,save
101,come
102,save
103,hook
104,time
105,save
106,time
107,save
108,baby
109,feel
110,givin'
111,givin'
112,time
113,save
114,time
115,save
116,baby
117,feel
118,givin'
119,givin'
120,time
121,save
122,time
123,save
124,baby
125,feel
126,givin'
127,givin'
128,givin'
