,Hero_Mariah Carey
0,there's
1,hero
2,look
3,inside
4,heart
5,afraid
6,there’s
7,answer
8,reach
9,soul
10,sorrow
11,know
12,melt
13,away
14,hero
15,comes
16,along
17,strength
18,carry
19,cast
20,fears
21,aside
22,know
23,survive
24,feel
25,like
26,hope
27,gone
28,look
29,inside
30,strong
31,finally
32,see
33,truth
34,hero
35,lies
36,long
37,road
38,face
39,world
40,alone
41,one
42,reaches
43,hand
44,hold
45,find
46,love
47,search
48,within
49,emptiness
50,felt
51,disappear
52,hero
53,comes
54,along
55,strength
56,carry
57,cast
58,fears
59,aside
60,know
61,survive
62,feel
63,like
64,hope
65,gone
66,look
67,inside
68,strong
69,finally
70,see
71,truth
72,hero
73,lies
74,bridge
75,lord
76,knows
77,dreams
78,hard
79,follow
80,let
81,anyone
82,tear
83,away
84,hold
85,tomorrow
86,time
87,find
88,way
89,hero
90,comes
91,along
92,strength
93,carry
94,cast
95,fears
96,aside
97,know
98,survive
99,feel
100,like
101,hope
102,gone
103,look
104,inside
105,strong
106,finally
107,see
108,truth
109,hero
110,lies
111,outro
112,hero
113,lies
114,hero
115,lies
