,Black Balloon_Goo Goo Dolls
0,baby's
1,black
2,balloon
3,makes
4,her
5,fly
6,i
7,almost
8,fell
9,hole
10,your
11,life
12,you're
13,thinking
14,tomorrow
15,cause
16,you
17,me
18,your
19,knees
20,thousand
21,boys
22,could
23,never
24,reach
25,you
26,could
27,i
28,one
29,i
30,saw
31,world
32,spin
33,beneath
34,you
35,scatter
36,like
37,ice
38,spoon
39,your
40,womb
41,coming
42,world
43,turned
44,angels
45,fall
46,without
47,you
48,i
49,go
50,you
51,get
52,colder
53,you
54,someone's
55,prayer
56,you
57,know
58,lies
59,always
60,told
61,you
62,love
63,you
64,never
65,knew
66,what's
67,things
68,never
69,showed
70,you
71,swallow
72,light
73,sun
74,inside
75,your
76,room
77,yeah
78,coming
79,world
80,turned
81,angels
82,fall
83,without
84,you
85,i
86,go
87,you
88,get
89,colder
90,you
91,someone's
92,prayer
93,there's
94,time
95,left
96,losing
97,you
98,stand
99,fall
100,yeah
101,coming
102,world
103,turned
104,angels
105,fall
106,without
107,you
108,i
109,go
110,you
111,get
112,colder
113,i'm
114,coming
115,year's
116,turned
117,angels
118,fall
119,without
120,you
121,i'll
122,go
123,i'll
124,lead
125,you
126,home
127,i'm
128,i'm
129,i'll
130,become
131,you
132,became
133,me
