,Breakeven_The Script
0,i'm
1,still
2,alive
3,i'm
4,barely
5,breathing
6,praying
7,god
8,i
9,believe
10,'cause
11,i
12,got
13,time
14,she
15,got
16,freedom
17,'cause
18,heart
19,breaks
20,break
21,even
22,her
23,best
24,days
25,my
26,worst
27,she
28,finally
29,met
30,man
31,that's
32,gonna
33,put
34,her
35,first
36,i'm
37,wide
38,awake
39,trouble
40,sleeping
41,'cause
42,heart
43,breaks
44,breakeven
45,even
46,i
47,supposed
48,best
49,part
50,me
51,always
52,you
53,i
54,supposed
55,say
56,i'm
57,choked
58,you're
59,ok
60,i'm
61,falling
62,pieces
63,yeah
64,i'm
65,falling
66,pieces
67,say
68,bad
69,things
70,happen
71,reason
72,wise
73,words
74,gonna
75,stop
76,bleeding
77,'cause
78,moved
79,i'm
80,still
81,grieving
82,heart
83,breaks
84,breakeven
85,even
86,even
87,i
88,gonna
89,best
90,part
91,me
92,always
93,you
94,i
95,supposed
96,say
97,i'm
98,choked
99,you're
100,ok
101,i'm
102,falling
103,pieces
104,yeah
105,i'm
106,falling
107,pieces
108,yeah
109,i'm
110,falling
111,pieces
112,one
113,still
114,love
115,one's
116,leaving
117,i'm
118,falling
119,pieces
120,'cause
121,heart
122,breaks
123,break
124,even
125,oh
126,you
127,got
128,his
129,heart
130,my
131,heart
132,none
133,pain
134,you
135,took
136,your
137,suitcase
138,i
139,took
140,blame
141,i'm
142,tryna
143,make
144,sense
145,little
146,remains
147,oh
148,'cause
149,you
150,left
151,me
152,love
153,love
154,my
155,name
156,i'm
157,still
158,alive
159,i'm
160,barely
161,breathing
162,prayed
163,god
164,i
165,believe
166,'cause
167,i
168,got
169,time
170,she
171,got
172,freedom
173,'cause
174,heart
175,breaks
176,break
177,break
178,break
179,even
180,i
181,gonna
182,best
183,part
184,me
185,always
186,you
187,i
188,supposed
189,say
190,i'm
191,choked
192,you're
193,ok
194,i'm
195,falling
196,pieces
197,yeah
198,i'm
199,falling
200,pieces
201,yeah
202,i'm
203,falling
204,pieces
205,one
206,still
207,love
208,one's
209,leaving
210,i'm
211,falling
212,pieces
213,'cause
214,heart
215,breaks
216,break
217,even
218,oh
219,break
220,even
221,oh
222,break
223,even
224,oh
225,break
226,even
