,Your Heart Is an Empty Room_Death Cab for Cutie
0,burn
1,'til
2,embers
3,smoke
4,ground
5,start
6,new
7,your
8,heart
9,empty
10,room
11,walls
12,deepest
13,blue
14,home's
15,face
16,ages
17,you're
18,away
19,spring
20,blooms
21,you
22,find
23,love
24,that's
25,true
26,you
27,know
28,cause
29,chase
30,you
31,know
32,she
33,stopped
34,running
35,months
36,ago
37,you
38,see
39,else
40,you
41,could
42,you're
43,home
44,street
45,many
46,possibilities
47,alone
48,flames
49,smoke
50,climbed
51,every
52,window
53,disappeared
54,everything
55,you
56,held
57,dear
58,you
59,shed
60,single
61,tear
62,things
63,you
64,need
65,cause
66,you
67,knew
68,you
69,finally
70,free
71,cause
72,you
73,see
74,else
75,you
76,could
77,you're
78,home
79,street
80,many
81,possibilities
82,alone
83,you
84,see
85,else
86,you
87,could
88,you're
89,home
90,street
91,many
92,possibilities
93,alone
