,Marching Bands of Manhattan_Death Cab for Cutie
0,i
1,could
2,open
3,my
4,arms
5,span
6,length
7,isle
8,manhattan
9,i'd
10,bring
11,you
12,making
13,lake
14,east
15,river
16,hudson
17,i
18,could
19,open
20,my
21,mouth
22,wide
23,enough
24,marching
25,band
26,march
27,would
28,make
29,your
30,name
31,sing
32,bend
33,alleys
34,bounce
35,buildings
36,i
37,wish
38,could
39,open
40,eyes
41,see
42,directions
43,time
44,oh
45,beautiful
46,view
47,you
48,never
49,aware
50,around
51,you
52,true
53,you
54,said
55,i
56,live
57,like
58,hermit
59,my
60,head
61,sun
62,shines
63,i'll
64,pull
65,curtains
66,blinds
67,let
68,light
69,refrain
70,x4
71,sorrow
72,drips
73,your
74,heart
75,pin
76,hole
77,like
78,faucet
79,leaks
80,comfort
81,sound
82,you
83,debate
84,half
85,empty
86,half
87,full
88,slowly
89,rises
90,your
91,love
92,gonna
93,drown
94,coda
95,your
96,love
97,gonna
98,drown
99,5x
