,Coming Up Roses_Elliott Smith
0,i'm
1,junkyard
2,full
3,false
4,starts
5,i
6,need
7,your
8,permission
9,bury
10,my
11,love
12,bare
13,light
14,bulb
15,prechorus
16,moon
17,sickle
18,cell
19,it'll
20,kill
21,you
22,time
23,your
24,cold
25,white
26,brother
27,riding
28,your
29,blood
30,like
31,spun
32,glass
33,sore
34,eyes
35,moon
36,division
37,you're
38,buried
39,you're
40,coming
41,roses
42,everywhere
43,you
44,go
45,red
46,roses
47,follow
48,things
49,you
50,tell
51,yourself
52,they'll
53,kill
54,you
55,time
56,your
57,cold
58,white
59,brother
60,alive
61,your
62,blood
63,spinning
64,night
65,sky
66,moon
67,division
68,you're
69,buried
70,you're
71,coming
72,roses
73,everywhere
74,you
75,go
76,red
77,roses
78,you
79,got
80,kind
81,trouble
82,nobody
83,knows
84,coming
85,roses
86,everywhere
87,you
88,go
89,red
90,roses
