,The Only Exception_Paramore
0,younger
1,saw
2,daddy
3,cry
4,curse
5,wind
6,broke
7,heart
8,watched
9,tried
10,reassemble
11,mama
12,swore
13,would
14,never
15,let
16,forget
17,day
18,promised
19,i'd
20,never
21,sing
22,love
23,exist
24,darling
25,exception
26,exception
27,exception
28,exception
29,maybe
30,know
31,somewhere
32,deep
33,soul
34,love
35,never
36,lasts
37,we've
38,got
39,find
40,ways
41,make
42,alone
43,keep
44,straight
45,face
46,i've
47,always
48,lived
49,like
50,keeping
51,comfortable
52,distance
53,sworn
54,i'm
55,content
56,loneliness
57,none
58,ever
59,worth
60,risk
61,well
62,exception
63,exception
64,exception
65,exception
66,bridge
67,i've
68,got
69,tight
70,grip
71,reality
72,can't
73,let
74,go
75,what's
76,front
77,know
78,leaving
79,morning
80,wake
81,leave
82,kind
83,proof
84,dream
85,exception
86,exception
87,exception
88,exception
89,exception
90,exception
91,exception
92,exception
93,outro
94,i'm
95,way
96,believing
97,oh
98,i'm
99,way
100,believing
