,Your Song_Ellie Goulding
0,little
1,bit
2,funny
3,feeling
4,inside
5,i'm
6,one
7,easily
8,hide
9,i
10,much
11,money
12,boy
13,i
14,i'd
15,buy
16,big
17,house
18,could
19,live
20,excuse
21,me
22,forgetting
23,things
24,i
25,see
26,i've
27,forgotten
28,they're
29,green
30,they're
31,blue
32,anyway
33,thing
34,i
35,really
36,mean
37,yours
38,sweetest
39,eyes
40,i've
41,ever
42,seen
43,you
44,tell
45,everybody
46,your
47,song
48,may
49,quite
50,simple
51,done
52,i
53,hope
54,you
55,mind
56,i
57,hope
58,you
59,mind
60,i
61,put
62,words
63,wonderful
64,life
65,you're
66,world
67,i
68,sculptor
69,girl
70,makes
71,potions
72,traveling
73,show
74,i
75,know
76,much
77,best
78,i
79,my
80,gift
81,my
82,song
83,one's
84,you
85,ohh
86,you
87,tell
88,everybody
89,your
90,song
91,may
92,quite
93,simple
94,done
95,i
96,hope
97,you
98,mind
99,i
100,hope
101,you
102,mind
103,i
104,put
105,words
106,wonderful
107,life
108,you're
109,world
