,Hanging by a Moment_Lifehouse
0,desperate
1,changing
2,starving
3,truth
4,i'm
5,closer
6,i
7,started
8,i'm
9,chasing
10,you
11,i'm
12,falling
13,even
14,love
15,you
16,letting
17,go
18,i've
19,held
20,onto
21,i'm
22,standing
23,you
24,make
25,me
26,move
27,i'm
28,hanging
29,moment
30,you
31,forgetting
32,i'm
33,lacking
34,completely
35,incomplete
36,i'll
37,take
38,your
39,invitation
40,you
41,take
42,me
43,i'm
44,falling
45,even
46,love
47,you
48,letting
49,go
50,i've
51,held
52,onto
53,i'm
54,standing
55,you
56,make
57,me
58,move
59,i'm
60,hanging
61,moment
62,you
63,i'm
64,living
65,thing
66,i
67,know
68,i'm
69,running
70,quite
71,sure
72,go
73,i
74,know
75,i'm
76,diving
77,hanging
78,moment
79,you
80,there's
81,nothing
82,else
83,lose
84,there's
85,nothing
86,else
87,find
88,there's
89,nothing
90,world
91,change
92,my
93,mind
94,nothing
95,else
96,nothing
97,else
98,nothing
99,else
100,desperate
101,changing
102,starving
103,truth
104,i'm
105,closer
106,i
107,started
108,i'm
109,chasing
110,you
111,i'm
112,falling
113,even
114,love
115,you
116,letting
117,go
118,i've
119,held
120,onto
121,i'm
122,standing
123,you
124,make
125,me
126,move
127,i'm
128,hanging
129,moment
130,you
131,i'm
132,living
133,thing
134,i
135,know
136,i'm
137,running
138,quite
139,sure
140,go
141,i
142,know
143,i'm
144,diving
145,hanging
146,moment
147,you
148,hanging
149,moment
150,you
151,hanging
152,moment
153,you
154,hanging
155,moment
156,you
157,hanging
158,moment
159,you
