,Set the Fire to the Third Bar_Snow Patrol
0,i
1,find
2,map
3,draw
4,straight
5,line
6,rivers
7,farms
8,state
9,lines
10,distance
11,you'd
12,fingerlengths
13,i
14,see
15,i
16,touch
17,place
18,i'd
19,find
20,your
21,face
22,my
23,fingers
24,creases
25,distant
26,dark
27,places
28,i
29,hang
30,my
31,coat
32,first
33,bar
34,peace
35,i've
36,found
37,far
38,laughter
39,penetrates
40,my
41,silence
42,drunken
43,men
44,find
45,flaws
46,science
47,words
48,mostly
49,noises
50,ghosts
51,voices
52,your
53,words
54,my
55,memory
56,like
57,music
58,me
59,miles
60,you
61,i
62,lay
63,cold
64,ground
65,i
66,i
67,pray
68,something
69,picks
70,me
71,sets
72,me
73,your
74,warm
75,arms
76,i
77,traveled
78,far
79,we'd
80,set
81,fire
82,third
83,bar
84,we'd
85,share
86,like
87,island
88,exhausted
89,close
90,eyelids
91,dreaming
92,pick
93,last
94,place
95,left
96,your
97,soft
98,skin
99,weeping
100,joy
101,you
102,can't
103,keep
104,miles
105,you
106,i
107,lay
108,cold
109,ground
110,i
111,i
112,pray
113,something
114,picks
115,me
116,sets
117,me
118,your
119,warm
120,arms
121,miles
122,you
123,i
124,lay
125,cold
126,ground
127,i
128,i
129,pray
130,something
131,picks
132,me
133,sets
134,me
135,your
136,warm
137,arms
