,"For Emily, Whenever I May Find Her_Simon & Garfunkel"
0,dream
1,i
2,pressed
3,organdy
4,clothed
5,crinoline
6,smoky
7,burgundy
8,softer
9,rain
10,i
11,wandered
12,empty
13,streets
14,past
15,shop
16,displays
17,i
18,heard
19,cathedral
20,bells
21,tripping
22,alleyways
23,i
24,walked
25,you
26,ran
27,me
28,your
29,cheeks
30,flushed
31,night
32,walked
33,frosted
34,fields
35,juniper
36,lamplight
37,i
38,held
39,your
40,hand
41,i
42,awoke
43,felt
44,you
45,warm
46,near
47,i
48,kissed
49,your
50,honey
51,hair
52,my
53,grateful
54,tears
55,oh
56,i
57,love
58,you
59,girl
60,oh
61,i
62,love
63,you
