,Thinking About You_Radiohead
0,thinking
1,you
2,your
3,records
4,your
5,eyes
6,my
7,wall
8,your
9,teeth
10,i'm
11,still
12,one
13,you're
14,my
15,star
16,you
17,care
18,thinking
19,you
20,there's
21,rest
22,i
23,still
24,love
25,you
26,still
27,see
28,you
29,bed
30,i'm
31,playing
32,myself
33,you
34,care
35,men
36,far
37,far
38,better
39,things
40,you've
41,got
42,things
43,you
44,need
45,bought
46,you
47,cigarettes
48,bribed
49,company
50,come
51,see
52,you
53,honey
54,i've
55,thinking
56,you
57,you
58,sleep
59,people
60,your
61,friends
62,they're
63,paid
64,kiss
65,your
66,feet
67,know
68,i
69,know
70,you
71,care
72,i'm
73,instrumental
74,break
75,thinking
76,you
77,there's
78,rest
79,i
80,still
81,love
82,you
83,still
84,see
85,you
86,bed
87,i'm
88,playing
89,myself
90,you
91,care
92,i'm
93,things
94,you've
95,got
96,you'll
97,never
98,need
99,things
100,you've
101,got
102,i've
103,bled
104,i
105,bleed
106,please
107,you
108,thinking
109,you
