,Hallelujah_Jeff Buckley
0,well
1,heard
2,secret
3,chord
4,david
5,played
6,pleased
7,lord
8,really
9,care
10,music
11,ya
12,well
13,goes
14,like
15,fourth
16,fifth
17,minor
18,fall
19,major
20,lift
21,baffled
22,king
23,composing
24,"""hallelujah"""
25,hallelujah
26,hallelujah
27,hallelujah
28,hallelujah
29,well
30,faith
31,strong
32,needed
33,proof
34,saw
35,bathing
36,roof
37,beauty
38,moonlight
39,overthrew
40,ya
41,tied
42,kitchen
43,chair
44,broke
45,throne
46,cut
47,hair
48,lips
49,drew
50,hallelujah
51,hallelujah
52,hallelujah
53,hallelujah
54,hallelujah
55,well
56,baby
57,i've
58,i've
59,seen
60,room
61,i've
62,walked
63,floor
64,know
65,used
66,live
67,alone
68,knew
69,ya
70,i've
71,seen
72,flag
73,marble
74,arch
75,love
76,victory
77,march
78,cold
79,broken
80,hallelujah
81,hallelujah
82,hallelujah
83,hallelujah
84,hallelujah
85,well
86,time
87,let
88,know
89,what's
90,really
91,going
92,never
93,show
94,ya
95,remember
96,moved
97,holy
98,dove
99,moving
100,every
101,breath
102,drew
103,hallelujah
104,hallelujah
105,hallelujah
106,hallelujah
107,hallelujah
108,instrumental
109,maybe
110,there's
111,god
112,i've
113,ever
114,learned
115,love
116,shoot
117,somebody
118,outdrew
119,ya
120,cry
121,hear
122,night
123,somebody
124,who's
125,seen
126,light
127,cold
128,broken
129,hallelujah
130,hallelujah
131,hallelujah
132,hallelujah
133,hallelujah
134,hallelujah
135,hallelujah
136,hallelujah
137,hallelujah
138,hallelujah
139,hallelujah
140,hallelujah
141,hallelujah
142,hallelujah
