,I Melt with You_Modern English
0,moving
1,forward
2,using
3,my
4,breath
5,making
6,love
7,you
8,never
9,second
10,best
11,i
12,saw
13,world
14,crashing
15,around
16,your
17,face
18,never
19,really
20,knowing
21,always
22,mesh
23,lace
24,i'll
25,stop
26,world
27,melt
28,you
29,you've
30,seen
31,difference
32,getting
33,better
34,time
35,there's
36,nothing
37,you
38,i
39,i'll
40,stop
41,world
42,melt
43,you
44,you
45,know
46,better
47,dream
48,better
49,lives
50,kind
51,never
52,hate
53,you
54,see
55,dropped
56,state
57,imaginary
58,grace
59,you
60,know
61,better
62,i
63,made
64,pilgrimage
65,save
66,human
67,race
68,you
69,see
70,never
71,comprehending
72,race
73,long
74,long
75,lost
76,i'll
77,stop
78,world
79,melt
80,you
81,i'll
82,stop
83,world
84,you've
85,seen
86,difference
87,getting
88,better
89,time
90,i'll
91,stop
92,world
93,there's
94,nothing
95,you
96,i
97,let's
98,stop
99,world
100,i'll
101,stop
102,world
103,melt
104,you
105,future's
106,open
107,wide
108,let's
109,stop
110,world
111,i'll
112,stop
113,world
114,melt
115,you
116,let's
117,stop
118,world
119,i've
120,seen
121,changes
122,getting
123,better
124,time
125,let's
126,stop
127,world
128,there's
129,nothing
130,you
131,i
132,let's
133,stop
134,world
135,i'll
136,stop
137,world
138,melt
139,you
140,future's
141,open
142,wide
143,hmm
144,hmm
145,hmm
146,hmm
147,hmm
148,hmm
149,hmm
150,hmm
151,hmm
152,hmm
153,hmm
154,hmm
155,hmm
156,hmm
157,i'll
158,stop
159,world
160,melt
161,you
162,let's
163,stop
164,world
165,you've
166,seen
167,difference
168,getting
169,better
170,time
171,let's
172,stop
173,world
174,there's
175,nothing
176,you
177,i
178,let's
179,stop
180,world
181,i'll
182,stop
183,world
184,melt
185,you
186,let's
187,stop
188,world
189,i'll
190,stop
191,world
192,melt
193,you
194,let's
195,stop
196,world
197,i'll
198,stop
199,world
200,melt
201,you
202,let's
203,stop
204,world
205,i'll
206,stop
207,world
208,melt
209,you
