,Rehab_Rihanna
0,rihanna
1,baby
2,baby
3,first
4,met
5,i
6,never
7,felt
8,something
9,strong
10,you
11,like
12,my
13,lover
14,my
15,best
16,friend
17,wrapped
18,one
19,ribbon
20,sudden
21,you
22,went
23,left
24,i
25,know
26,follow
27,like
28,shot
29,spun
30,me
31,around
32,my
33,heart
34,left
35,i
36,feel
37,empty
38,hollow
39,prechorus
40,rihanna
41,i'll
42,never
43,give
44,myself
45,another
46,way
47,i
48,gave
49,you
50,even
51,recognize
52,ways
53,you
54,hurt
55,me
56,you
57,gonna
58,take
59,miracle
60,bring
61,me
62,back
63,you're
64,one
65,blame
66,rihanna
67,i
68,feel
69,like
70,oh
71,you're
72,reason
73,i'm
74,thinking
75,i
76,wanna
77,smoke
78,cigarettes
79,i
80,guess
81,that's
82,i
83,get
84,wishful
85,thinking
86,i
87,never
88,let
89,you
90,enter
91,my
92,door
93,next
94,time
95,you
96,wanna
97,go
98,leave
99,i
100,let
101,you
102,go
103,'cause
104,i'm
105,using
106,like
107,i
108,bleed
109,postchorus
110,rihanna
111,like
112,i
113,checked
114,rehab
115,baby
116,you're
117,my
118,disease
119,like
120,i
121,checked
122,rehab
123,baby
124,you're
125,my
126,disease
127,i
128,gotta
129,check
130,rehab
131,'cause
132,baby
133,you're
134,my
135,disease
136,i
137,gotta
138,check
139,rehab
140,'cause
141,baby
142,you're
143,my
144,disease
145,rihanna
146,damn
147,ain't
148,crazy
149,you're
150,love
151,swept
152,you'll
153,anything
154,one
155,you
156,love
157,'cause
158,anytime
159,you
160,needed
161,me
162,i'd
163,like
164,you
165,my
166,favorite
167,drug
168,problem
169,you
170,using
171,me
172,different
173,way
174,i
175,using
176,you
177,i
178,know
179,meant
180,you
181,gotta
182,go
183,i
184,gotta
185,wean
186,myself
187,you
188,prechorus
189,rihanna
190,i'll
191,never
192,give
193,myself
194,another
195,way
196,i
197,gave
198,you
199,even
200,recognize
201,ways
202,you
203,hurt
204,me
205,you
206,gonna
207,take
208,miracle
209,bring
210,me
211,back
212,you're
213,one
214,blame
215,rihanna
216,'cause
217,i
218,feel
219,like
220,oh
221,you're
222,reason
223,i'm
224,thinking
225,i
226,wanna
227,smoke
228,cigarettes
229,i
230,guess
231,that's
232,i
233,get
234,wishful
235,thinking
236,i
237,never
238,let
239,you
240,enter
241,my
242,door
243,let
244,you
245,enter
246,my
247,door
248,next
249,time
250,you
251,wanna
252,go
253,leave
254,i
255,let
256,you
257,go
258,'cause
259,i'm
260,using
261,like
262,i
263,bleed
264,using
265,like
266,i
267,bleed
268,postchorus
269,rihanna
270,like
271,i
272,checked
273,rehab
274,oh
275,baby
276,you're
277,my
278,disease
279,you're
280,my
281,disease
282,like
283,i
284,checked
285,rehab
286,baby
287,you're
288,my
289,disease
290,i
291,gotta
292,check
293,rehab
294,oh
295,'cause
296,baby
297,you're
298,my
299,disease
300,you're
301,my
302,disease
303,i
304,gotta
305,check
306,rehab
307,'cause
308,baby
309,you're
310,my
311,disease
312,justin
313,timberlake
314,rihanna
315,ladies
316,gimme
317,oh
318,oh
319,oh
320,oh
321,ohoh
322,oh
323,oh
324,ohoh
325,oh
326,gimme
327,oh
328,oh
329,oh
330,oh
331,ohoh
332,oh
333,oh
334,ohoh
335,ladies
336,gimme
337,oh
338,oh
339,oh
340,oh
341,ohoh
342,oh
343,oh
344,ohoh
345,oh
346,gimme
347,oh
348,oh
349,oh
350,oh
351,ohoh
352,oh
353,oh
354,ohoh
355,prechorus
356,rihanna
357,oh
358,you're
359,reason
360,i'm
361,thinking
362,i
363,wanna
364,smoke
365,cigarettes
366,i
367,guess
368,that's
369,i
370,get
371,wishful
372,thinking
373,i
374,never
375,let
376,you
377,enter
378,my
379,door
380,next
381,time
382,you
383,wanna
384,go
385,leave
386,i
387,let
388,you
389,go
390,'cause
391,i'm
392,using
393,like
394,i
395,bleed
396,rihanna
397,like
398,i
399,checked
400,rehab
401,oh
402,baby
403,you're
404,my
405,disease
406,like
407,i
408,checked
409,rehab
410,baby
411,you're
412,my
413,disease
414,i
415,gotta
416,check
417,rehab
418,oh
419,'cause
420,baby
421,you're
422,my
423,disease
424,i
425,gotta
426,check
427,rehab
428,'cause
429,baby
430,you're
431,my
432,disease
