,Begin Again_Taylor Swift
0,took
1,deep
2,breath
3,mirror
4,like
5,wore
6,high
7,heels
8,turn
9,lock
10,put
11,headphones
12,always
13,said
14,get
15,song
16,walked
17,expecting
18,late
19,got
20,early
21,stand
22,wave
23,walk
24,pull
25,chair
26,help
27,know
28,nice
29,throw
30,head
31,back
32,laughing
33,like
34,little
35,kid
36,think
37,strange
38,think
39,i'm
40,funny
41,'cause
42,never
43,i've
44,spending
45,last
46,eight
47,months
48,thinking
49,love
50,ever
51,break
52,burn
53,end
54,wednesday
55,cafe
56,watched
57,begin
58,said
59,never
60,met
61,one
62,girl
63,many
64,james
65,taylor
66,records
67,tell
68,stories
69,know
70,i'm
71,coming
72,little
73,shy
74,throw
75,head
76,back
77,laughing
78,like
79,little
80,kid
81,think
82,strange
83,think
84,i'm
85,funny
86,'cause
87,never
88,i've
89,spending
90,last
91,eight
92,months
93,thinking
94,love
95,ever
96,break
97,burn
98,end
99,wednesday
100,cafe
101,watched
102,begin
103,bridge
104,walked
105,block
106,car
107,almost
108,brought
109,start
110,talk
111,movies
112,family
113,watches
114,every
115,single
116,christmas
117,talk
118,first
119,time
120,what's
121,past
122,past
123,'cause
124,throw
125,head
126,back
127,laughing
128,like
129,little
130,kid
131,think
132,strange
133,think
134,i'm
135,funny
136,'cause
137,never
138,i've
139,spending
140,last
141,eight
142,months
143,thinking
144,love
145,ever
146,break
147,burn
148,end
149,wednesday
150,cafe
151,watched
152,begin
153,outro
154,wednesday
155,cafe
156,watched
157,begin
