,Take My Breath Away_Berlin
0,watching
1,every
2,motion
3,my
4,foolish
5,lover's
6,game
7,endless
8,ocean
9,finally
10,lovers
11,know
12,shame
13,turning
14,returning
15,secret
16,place
17,inside
18,watching
19,slow
20,motion
21,you
22,turn
23,around
24,say
25,take
26,my
27,breath
28,away
29,take
30,my
31,breath
32,away
33,watching
34,i
35,keep
36,waiting
37,still
38,anticipating
39,love
40,never
41,hesitating
42,become
43,fated
44,ones
45,turning
46,returning
47,secret
48,place
49,find
50,watching
51,slow
52,motion
53,you
54,turn
55,me
56,say
57,my
58,love
59,take
60,my
61,breath
62,away
63,hourglass
64,i
65,saw
66,you
67,time
68,you
69,slipped
70,away
71,mirror
72,crashed
73,i
74,called
75,you
76,turned
77,hear
78,you
79,say
80,today
81,i
82,unafraid
83,take
84,my
85,breath
86,away
87,take
88,my
89,breath
90,away
91,watching
92,every
93,motion
94,foolish
95,lover's
96,game
97,haunted
98,notion
99,somewhere
100,there's
101,love
102,flames
103,turning
104,returning
105,secret
106,place
107,inside
108,watching
109,slow
110,motion
111,you
112,turn
113,my
114,way
115,say
116,take
117,my
118,breath
119,away
120,my
121,love
122,take
123,my
124,breath
125,away
126,my
127,love
128,take
129,my
130,breath
131,away
132,my
133,love
134,take
135,my
136,breath
137,away
138,my
139,love
