,It Will Rain_Bruno Mars
0,you
1,ever
2,leave
3,me
4,baby
5,leave
6,morphine
7,my
8,door
9,'cause
10,would
11,take
12,whole
13,lot
14,medication
15,realize
16,used
17,anymore
18,there's
19,religion
20,could
21,save
22,me
23,matter
24,long
25,my
26,knees
27,floor
28,oh
29,keep
30,mind
31,sacrifices
32,i'm
33,making
34,keep
35,you
36,my
37,side
38,keep
39,you
40,walking
41,door
42,'cause
43,there'll
44,sunlight
45,i
46,lose
47,you
48,baby
49,there'll
50,clear
51,skies
52,i
53,lose
54,you
55,baby
56,like
57,clouds
58,my
59,eyes
60,you
61,walk
62,away
63,everyday
64,it'll
65,rain
66,rain
67,rain
68,i'll
69,never
70,your
71,mother's
72,favorite
73,your
74,daddy
75,can't
76,even
77,look
78,me
79,eye
80,ooh
81,i
82,shoes
83,i'd
84,thing
85,saying
86,goes
87,my
88,little
89,girl
90,walking
91,troublesome
92,guy
93,they're
94,afraid
95,something
96,can't
97,understand
98,ooh
99,little
100,darling
101,watch
102,me
103,change
104,minds
105,yeah
106,you
107,i'll
108,try
109,i'll
110,try
111,i'll
112,try
113,i'll
114,try
115,pick
116,broken
117,pieces
118,till
119,i'm
120,bleeding
121,make
122,you
123,mine
124,'cause
125,there'll
126,sunlight
127,i
128,lose
129,you
130,baby
131,there'll
132,clear
133,skies
134,i
135,lose
136,you
137,baby
138,like
139,clouds
140,my
141,eyes
142,you
143,walk
144,away
145,everyday
146,it'll
147,rain
148,rain
149,rain
150,ooh
151,you
152,say
153,you
154,say
155,goodbye
156,goodbye
157,you
158,say
159,you
160,say
161,goodbye
162,goodbye
163,i'll
164,pick
165,broken
166,pieces
167,till
168,i'm
169,bleeding
170,make
171,right
172,'cause
173,there'll
174,sunlight
175,i
176,lose
177,you
178,baby
179,there'll
180,clear
181,skies
182,i
183,lose
184,you
185,baby
186,like
187,clouds
188,my
189,eyes
190,you
191,walk
192,away
193,everyday
194,it'll
195,rain
196,rain
197,rain
