,Passionfruit_Drake
0,moodymann
1,hold
2,hold
3,fuck
4,fuck
5,shit
6,hold
7,i
8,got
9,start
10,mothafuckin'
11,record
12,wait
13,minute
14,fuck
15,shit
16,still
17,mothafuckin’
18,record
19,i'ma
20,play
21,mothafucka
22,y'all
23,ayy
24,y’all
25,get
26,drinks
27,goin'
28,i'll
29,sound
30,whole
31,lot
32,better
33,listen
34,seein'
35,you
36,got
37,ritualistic
38,cleansin'
39,my
40,soul
41,addiction
42,'cause
43,i'm
44,fallin'
45,apart
46,yeah
47,tension
48,us
49,like
50,picket
51,fences
52,you
53,got
54,issues
55,i
56,won’t
57,mention
58,’cause
59,we're
60,fallin’
61,apart
62,passionate
63,miles
64,away
65,passive
66,things
67,you
68,say
69,passin'
70,my
71,old
72,ways
73,i
74,can't
75,blame
76,you
77,passionate
78,miles
79,away
80,passive
81,things
82,you
83,say
84,passin'
85,my
86,old
87,ways
88,i
89,can’t
90,blame
91,you
92,listen
93,harder
94,buildin'
95,trust
96,distance
97,i
98,think
99,rule
100,commitment
101,'cause
102,we're
103,fallin'
104,apart
105,leavin'
106,you're
107,get
108,even
109,pick
110,pieces
111,leave
112,keep
113,fallin'
114,apart
115,passionate
116,miles
117,away
118,passive
119,things
120,you
121,say
122,passin'
123,my
124,old
125,ways
126,i
127,can't
128,blame
129,you
130,passionate
131,miles
132,away
133,passive
134,things
135,you
136,say
137,passin'
138,my
139,old
140,ways
141,i
142,can't
143,blame
144,you
145,zoë
146,kravitz
147,um
148,trying
149,think
150,right
151,thing
152,say
