,I Found A Reason_The Velvet Underground
0,pa
1,pa
2,pa
3,pa
4,pa
5,pa
6,pa
7,pa
8,pa
9,pa
10,pa
11,pa
12,pa
13,pa
14,pa
15,pa
16,pa
17,pa
18,pa
19,pa
20,pa
21,i
22,found
23,reason
24,keep
25,living
26,oh
27,reason
28,dear
29,you
30,oh
31,i
32,found
33,reason
34,keep
35,singing
36,oh
37,reason
38,dear
39,you
40,oh
41,i
42,believe
43,you
44,like
45,things
46,you
47,leave
48,place
49,you've
50,never
51,gone
52,pa
53,pa
54,pa
55,pa
56,pa
57,pa
58,pa
59,pa
60,pa
61,pa
62,pa
63,pa
64,pa
65,pa
66,pa
67,pa
68,pa
69,pa
70,pa
71,pa
72,pa
73,honey
74,i
75,found
76,reason
77,keep
78,living
79,you
80,know
81,reason
82,dear
83,you
84,i've
85,walked
86,life's
87,lonely
88,highways
89,hand
90,hand
91,myself
92,i
93,realized
94,many
95,paths
96,crossed
97,us
98,oh
99,i
100,believe
101,you
102,you
103,perceive
104,comes
105,better
106,came
107,guitar
108,solo
109,oh
110,i
111,believe
112,you
113,you
114,perceive
115,comes
116,better
117,came
118,pa
119,pa
120,pa
121,pa
122,pa
123,pa
124,pa
125,pa
126,pa
127,pa
128,pa
129,pa
130,pa
131,pa
132,pa
133,pa
134,pa
135,pa
136,pa
137,pa
138,pa
139,you'd
140,better
141,come
142,come
143,come
144,come
145,me
146,better
147,come
148,come
149,come
150,me
151,yeah
152,come
153,come
154,come
155,come
156,me
157,pa
158,pa
159,pa
160,pa
161,pa
162,pa
