,SING_My Chemical Romance
0,sing
1,boy
2,got
3,see
4,tomorrow
5,brings
6,sing
7,girl
8,got
9,tomorrow
10,needs
11,every
12,time
13,want
14,count
15,use
16,voice
17,every
18,single
19,time
20,open
21,mouth
22,sing
23,boys
24,sing
25,girls
26,every
27,time
28,lose
29,sing
30,world
31,sing
32,heart
33,sing
34,till
35,nuts
36,sing
37,ones
38,hate
39,guts
40,sing
41,deaf
42,sing
43,blind
44,sing
45,everyone
46,left
47,behind
48,sing
49,world
50,sing
51,world
52,sing
53,boy
54,they're
55,going
56,sell
57,tomorrow
58,means
59,sing
60,girl
61,kill
62,tomorrow
63,brings
64,got
65,make
66,choice
67,music
68,drowns
69,raise
70,voice
71,every
72,single
73,time
74,try
75,shut
76,mouth
77,sing
78,boys
79,sing
80,girls
81,every
82,time
83,lose
84,sing
85,world
86,sing
87,heart
88,sing
89,till
90,nuts
91,sing
92,ones
93,hate
94,guts
95,sing
96,deaf
97,sing
98,blind
99,sing
100,everyone
101,left
102,behind
103,sing
104,world
105,sing
106,world
107,bridge
108,cleaned-up
109,corporation
110,progress
111,dying
112,process
113,children
114,talk
115,living
116,web-ways
117,people
118,moving
119,sideways
120,tell
121,till
122,last
123,days
124,buy
125,motivation
126,generation
127,nothing
128,nothing
129,dead
130,scene
131,product
132,white
133,dream
134,singer
135,wanted
136,dancer
137,refuse
138,answer
139,talk
140,past
141,sir
142,wrote
143,ones
144,want
145,get
146,away
147,keep
148,running
149,sing
150,boys
151,sing
152,girls
153,every
154,time
155,lose
156,sing
157,world
158,sing
159,heart
160,sing
161,till
162,nuts
163,sing
164,ones
165,hate
166,guts
167,sing
168,deaf
169,sing
170,blind
171,sing
172,everyone
173,left
174,behind
175,sing
176,world
177,sing
178,world
179,outro
180,got
181,see
182,tomorrow
183,brings
184,sing
185,world
186,sing
187,world
188,girl
189,got
190,tomorrow
191,needs
192,sing
193,world
194,sing
195,world
196,instrumental
197,outro
