,Cherish_Madonna
0,cherish
1,cherish
2,tired
3,broken
4,hearts
5,losing
6,game
7,start
8,dance
9,take
10,chance
11,telling
12,want
13,romance
14,destiny
15,can't
16,let
17,go
18,baby
19,can't
20,see
21,cupid
22,please
23,take
24,aim
25,cherish
26,thought
27,always
28,side
29,oh
30,baby
31,cherish
32,joy
33,keep
34,bringing
35,life
36,i'm
37,always
38,singing
39,cherish
40,strength
41,got
42,power
43,make
44,feel
45,good
46,baby
47,perish
48,thought
49,ever
50,leaving
51,never
52,would
53,never
54,satisfied
55,casual
56,encounters
57,can't
58,hide
59,need
60,two
61,hearts
62,bleed
63,burning
64,love
65,that's
66,way
67,got
68,romeo
69,juliet
70,never
71,felt
72,way
73,bet
74,underestimate
75,point
76,view
77,cherish
78,thought
79,always
80,side
81,oh
82,baby
83,cherish
84,joy
85,keep
86,bringing
87,life
88,i'm
89,always
90,singing
91,cherish
92,strength
93,got
94,power
95,make
96,feel
97,good
98,baby
99,perish
100,thought
101,ever
102,leaving
103,never
104,would
105,bridge
106,can't
107,get
108,away
109,let
110,could
111,never
112,forget
113,cherish
114,word
115,use
116,remind
117,love
118,givin'
119,givin'
120,boy
121,keep
122,giving
123,all-all-all
124,joy
125,give
126,faith
127,always
128,cherish
129,romeo
130,juliet
131,never
132,felt
133,way
134,bet
135,underestimate
136,point
137,view
138,can't
139,get
140,away
141,let
142,could
143,never
144,forget
145,cherish
146,word
147,use
148,remind
149,love
150,cherish
151,thought
152,always
153,side
154,oh
155,baby
156,cherish
157,joy
158,keep
159,bringing
160,life
161,i'm
162,always
163,singing
164,cherish
165,strength
166,got
167,power
168,make
169,feel
170,good
171,baby
172,perish
173,thought
174,ever
175,leaving
176,never
177,would
178,cherish
179,give
180,faith
181,give
182,joy
183,boy
184,always
185,cherish
186,give
187,faith
188,give
189,joy
190,boy
191,always
192,cherish
193,cherish
194,strength
195,givin'
196,givin'
197,boy
198,can't
199,get
200,away
201,let
202,perish
203,thought
204,givin'
205,givin'
206,boy
207,could
208,never
209,forget
210,cherish
211,thought
212,give
213,faith
214,give
215,joy
216,boy
217,always
218,cherish
219,cherish
220,joy
221,give
222,faith
223,give
224,joy
225,boy
226,always
227,cherish
228,cherish
229,strength
230,givin'
231,givin'
232,boy
233,keep
234,giving
235,joy
236,perish
237,thought
238,givin'
239,boy
240,keep
241,giving
242,joy
243,cherish
244,thought
245,give
246,faith
247,give
248,joy
249,boy
250,always
251,cherish
252,cherish
253,joy
254,give
255,faith
256,give
257,joy
258,boy
259,always
260,cherish
