,Medicine_Daughter
0,pick
1,pick
2,start
3,you've
4,got
5,second
6,chance
7,you
8,could
9,go
10,home
11,escape
12,irrelevant
13,medicine
14,medicine
15,you
16,could
17,still
18,you
19,want
20,you
21,said
22,you
23,i
24,met
25,you
26,you've
27,got
28,warm
29,heart
30,you've
31,got
32,beautiful
33,brain
34,disintegrating
35,medicine
36,medicine
37,medicine
38,medicine
39,you
40,could
41,still
42,you
43,want
44,you
45,said
46,you
47,you
48,met
49,me
50,you
51,could
52,still
53,you
54,want
55,you
56,said
57,you
58,i
59,met
60,you
61,you
62,met
63,me
64,i
65,met
66,you
