,The Man Who Can't Be Moved_The Script
0,going
1,back
2,corner
3,i
4,first
5,saw
6,you
7,gonna
8,camp
9,my
10,sleeping
11,bag
12,i'm
13,gonna
14,move
15,got
16,words
17,cardboard
18,got
19,your
20,picture
21,my
22,hand
23,saying
24,you
25,see
26,girl
27,you
28,tell
29,her
30,i
31,try
32,hand
33,me
34,money
35,understand
36,i'm
37,broke
38,i'm
39,brokenhearted
40,man
41,i
42,know
43,makes
44,sense
45,else
46,i
47,i
48,move
49,i'm
50,still
51,love
52,you
53,'cause
54,one
55,day
56,you
57,wake
58,find
59,you're
60,missing
61,me
62,your
63,heart
64,starts
65,wonder
66,earth
67,i
68,could
69,thinking
70,maybe
71,you'll
72,come
73,back
74,place
75,we'd
76,meet
77,you'll
78,see
79,me
80,waiting
81,you
82,corner
83,street
84,i'm
85,moving
86,i'm
87,moving
88,policeman
89,says
90,son
91,you
92,can't
93,stay
94,i
95,say
96,there's
97,someone
98,i'm
99,waiting
100,day
101,month
102,year
103,gotta
104,stand
105,my
106,ground
107,even
108,rains
109,snows
110,she
111,changes
112,her
113,mind
114,first
115,place
116,she
117,go
118,'cause
119,one
120,day
121,you
122,wake
123,find
124,you're
125,missing
126,me
127,your
128,heart
129,starts
130,wonder
131,earth
132,i
133,could
134,thinking
135,maybe
136,you'll
137,come
138,back
139,place
140,we'd
141,meet
142,you'll
143,see
144,me
145,waiting
146,you
147,corner
148,street
149,i'm
150,moving
151,i'm
152,moving
153,i'm
154,moving
155,i'm
156,moving
157,people
158,talk
159,guy
160,who's
161,waiting
162,girl
163,oh
164,holes
165,his
166,shoes
167,big
168,hole
169,his
170,world
171,yeah
172,maybe
173,i'll
174,get
175,famous
176,man
177,can't
178,moved
179,maybe
180,you
181,mean
182,you'll
183,see
184,me
185,news
186,you'll
187,come
188,running
189,corner
190,'cause
191,you
192,know
193,you
194,i'm
195,man
196,can't
197,moved
198,i'm
199,man
200,can't
201,moved
202,'cause
203,one
204,day
205,you
206,wake
207,find
208,you're
209,missing
210,me
211,find
212,you're
213,missing
214,me
215,your
216,heart
217,starts
218,wonder
219,earth
220,i
221,could
222,oh
223,earth
224,i
225,could
226,thinking
227,maybe
228,you'll
229,come
230,back
231,place
232,we'd
233,meet
234,place
235,we'd
236,meet
237,oh
238,oh
239,you'll
240,see
241,me
242,waiting
243,you
244,corner
245,street
246,corner
247,street
248,'cause
249,one
250,day
251,you
252,wake
253,find
254,you're
255,missing
256,me
257,i'm
258,moving
259,your
260,heart
261,starts
262,wonder
263,earth
264,i
265,could
266,i'm
267,moving
268,thinking
269,maybe
270,you'll
271,come
272,back
273,place
274,we'd
275,meet
276,i'm
277,moving
278,you'll
279,see
280,me
281,waiting
282,you
283,corner
284,street
285,i'm
286,moving
287,going
288,back
289,corner
290,i
291,first
292,saw
293,you
294,gonna
295,camp
296,my
297,sleeping
298,bag
299,i'm
300,gonna
301,move
