,Sad Songs And Waltzes_Cake
0,i'm
1,writing
2,song
3,you
4,true
5,song
6,real
7,my
8,tears
9,you've
10,need
11,fear
12,'cause
13,one
14,hear
15,sad
16,songs
17,waltzes
18,selling
19,year
20,i'll
21,tell
22,you
23,cheated
24,i'd
25,like
26,whole
27,world
28,hear
29,i'd
30,like
31,get
32,even
33,you
34,'cause
35,you're
36,leavin'
37,sad
38,songs
39,waltzes
40,selling
41,year
42,good
43,thing
44,i'm
45,star
46,you
47,know
48,lucky
49,you
50,though
51,my
52,record
53,may
54,say
55,one
56,play
57,sad
58,songs
59,waltzes
60,selling
61,year
62,good
63,thing
64,i'm
65,star
66,you
67,know
68,lucky
69,you
70,though
71,my
72,record
73,may
74,say
75,one
76,play
77,sad
78,songs
79,waltzes
80,selling
81,year
