,Waltz #1_Elliott Smith
0,every
1,time
2,day
3,darkens
4,goes
5,away
6,pictures
7,open
8,head
9,silent
10,cliche
11,things
12,say
13,covered
14,going
15,every
16,used
17,cop
18,make
19,repetition
20,stop
21,supposed
22,say
23,never
24,leave
25,zone
26,we're
27,alone
28,i'm
29,going
30,home
31,wish
32,i'd
33,never
34,seen
35,face
