,Can't Help Falling in Love_Elvis Presley
0,wise
1,men
2,say
3,fools
4,rush
5,can't
6,help
7,falling
8,love
9,shall
10,stay
11,would
12,sin
13,can't
14,help
15,falling
16,love
17,like
18,river
19,flows
20,surely
21,sea
22,darling
23,goes
24,things
25,meant
26,take
27,hand
28,take
29,whole
30,life
31,can't
32,help
33,falling
34,love
35,like
36,river
37,flows
38,surely
39,sea
40,darling
41,goes
42,things
43,meant
44,take
45,hand
46,take
47,whole
48,life
49,can't
50,help
51,falling
52,love
53,can't
54,help
55,falling
56,love
