,XO_Beyoncé
0,sample
1,flight
2,controllers
3,looking
4,carefully
5,situation
6,obviously
7,major
8,malfunction
9,your
10,love
11,bright
12,ever
13,even
14,shadows
15,baby
16,kiss
17,me
18,turn
19,lights
20,your
21,heart
22,glowing
23,i’m
24,crashing
25,you
26,baby
27,kiss
28,me
29,turn
30,lights
31,turn
32,lights
33,baby
34,love
35,me
36,lights
37,darkest
38,night
39,hour
40,darkest
41,night
42,hour
43,search
44,crowd
45,search
46,crowd
47,your
48,face
49,i
50,see
51,i've
52,given
53,you
54,everything
55,baby
56,love
57,me
58,lights
59,baby
60,love
61,me
62,lights
63,xo
64,you
65,turn
66,my
67,lights
68,don’t
69,forever
70,baby
71,daylight’s
72,wasting
73,you
74,better
75,kiss
76,me
77,time
78,run
79,nobody
80,sees
81,see
82,they’re
83,hopelessly
84,gazing
85,baby
86,take
87,me
88,turn
89,lights
90,time
91,run
92,baby
93,love
94,me
95,lights
96,darkest
97,night
98,hour
99,darkest
100,night
101,hour
102,i'll
103,search
104,crowd
105,i'll
106,search
107,crowd
108,your
109,face
110,i
111,see
112,i'll
113,give
114,you
115,everything
116,baby
117,love
118,me
119,lights
120,baby
121,love
122,me
123,lights
124,you
125,turn
126,my
127,lights
128,i
129,love
130,you
131,like
132,xo
133,you
134,love
135,me
136,like
137,xo
138,you
139,kill
140,me
141,boy
142,xo
143,you
144,love
145,me
146,like
147,xo
148,i
149,see
150,give
151,me
152,everything
153,baby
154,love
155,me
156,lights
157,baby
158,love
159,me
160,lights
161,you
162,turn
163,my
164,lights
165,darkest
166,night
167,hour
168,darkest
169,night
170,hour
171,i'll
172,search
173,crowd
174,i'll
175,search
176,crowd
177,your
178,face
179,i
180,see
181,i'll
182,give
183,you
184,everything
185,baby
186,love
187,me
188,lights
189,baby
190,love
191,me
192,lights
193,you
194,turn
195,my
196,lights
