,The Messenger_Linkin Park
0,you
1,feel
2,you're
3,alone
4,cut
5,cruel
6,world
7,your
8,instincts
9,telling
10,you
11,run
12,listen
13,your
14,heart
15,angel
16,voices
17,they'll
18,sing
19,you
20,they'll
21,your
22,guide
23,back
24,home
25,life
26,leaves
27,us
28,blind
29,love
30,keeps
31,us
32,kind
33,keeps
34,us
35,kind
36,you've
37,suffered
38,enough
39,your
40,spirit
41,breaking
42,you're
43,growing
44,desperate
45,fight
46,remember
47,you're
48,loved
49,you
50,always
51,melody
52,bring
53,you
54,right
55,back
56,home
57,life
58,leaves
59,us
60,blind
61,love
62,keeps
63,us
64,kind
65,life
66,leaves
67,us
68,blind
69,love
70,keeps
71,us
72,kind
