,For You Blue_The Beatles
0,queen
1,says
2,pot-smoking
3,fbi
4,members
5,sweet
6,lovely
7,girl
8,love
9,sweet
10,lovely
11,girl
12,true
13,love
14,ever
15,girl
16,want
17,morning
18,girl
19,love
20,want
21,moment
22,feel
23,blue
24,i'm
25,living
26,every
27,moment
28,girl
29,bop
30,bop
31,cat
32,bop
33,go
34,johnny
35,go
36,ol'
37,12-bar
38,blues
39,elmore
40,james
41,got
42,nothing
43,baby
44,i've
45,loved
46,moment
47,saw
48,looked
49,that's
50,feel
51,hope
52,feel
53,sweet
54,lovely
55,girl
56,love
57,sweet
58,lovely
59,girl
60,true
61,love
62,ever
63,girl
64,rhythm
65,blues
