,The One That Got Away_Katy Perry
0,summer
1,high
2,school
3,first
4,met
5,we'd
6,make
7,mustang
8,radiohead
9,18th
10,birthday
11,got
12,matching
13,tattoos
14,used
15,steal
16,parents'
17,liquor
18,climb
19,roof
20,talk
21,future
22,like
23,clue
24,never
25,planned
26,one
27,day
28,i'd
29,losing
30,another
31,life
32,would
33,girl
34,we'd
35,keep
36,promises
37,us
38,world
39,another
40,life
41,would
42,make
43,stay
44,say
45,one
46,got
47,away
48,one
49,got
50,away
51,june
52,johnny
53,cash
54,never
55,one
56,without
57,made
58,pact
59,sometimes
60,miss
61,put
62,records
63,whoa
64,someone
65,said
66,tattoo
67,removed
68,saw
69,downtown
70,singing
71,blues
72,time
73,face
74,music
75,i'm
76,longer
77,muse
78,another
79,life
80,would
81,girl
82,we'd
83,keep
84,promises
85,us
86,world
87,another
88,life
89,would
90,make
91,stay
92,say
93,one
94,got
95,away
96,one
97,got
98,away
99,post-chorus
100,one
101,one
102,one
103,one
104,got
105,away
106,bridge
107,money
108,can't
109,buy
110,time
111,machine
112,can't
113,replace
114,million
115,rings
116,told
117,meant
118,whoa
119,'cause
120,pay
121,price
122,another
123,life
124,would
125,girl
126,we'd
127,keep
128,promises
129,us
130,world
131,another
132,life
133,would
134,make
135,stay
136,say
137,one
138,got
139,away
140,one
141,got
142,away
143,post-chorus
144,one
145,one
146,one
147,one
148,one
149,one
150,another
151,life
152,would
153,make
154,stay
155,say
156,one
157,got
158,away
159,one
160,got
161,away
