,Banana Pancakes_Jack Johnson
0,can't
1,you
2,see
3,raining
4,ain’t
5,need
6,go
7,outside
8,baby
9,you
10,hardly
11,even
12,notice
13,i
14,try
15,show
16,you
17,song
18,meant
19,keep
20,you
21,you're
22,supposed
23,waking
24,early
25,maybe
26,could
27,sleep
28,i'll
29,make
30,you
31,banana
32,pancakes
33,pretend
34,like
35,weekend
36,could
37,pretend
38,time
39,can't
40,you
41,see
42,raining
43,ain't
44,need
45,go
46,outside
47,maybe
48,laka
49,ukulele
50,mama
51,made
52,baby
53,i
54,really
55,don’t
56,mind
57,practice
58,'cause
59,you're
60,my
61,little
62,lady
63,lady
64,lady
65,love
66,me
67,'cause
68,i
69,love
70,lay
71,lazy
72,could
73,close
74,curtains
75,pretend
76,like
77,there's
78,world
79,outside
80,could
81,pretend
82,time
83,can't
84,you
85,see
86,raining
87,ain’t
88,need
89,go
90,outside
91,ain’t
92,need
93,ain’t
94,need
95,mmmmmmmmmm
96,can't
97,you
98,see
99,can't
100,you
101,see
102,rain
103,day
104,i
105,mind
106,telephone
107,singing
108,ringing
109,early
110,pick
111,need
112,got
113,everything
114,need
115,right
116,everything
117,need
118,enough
119,easy
120,whole
121,world
122,fits
123,inside
124,your
125,arms
126,really
127,need
128,pay
129,attention
130,alarm
131,wake
132,slow
133,mhmmm
134,wake
135,slow
136,baby
137,you
138,hardly
139,even
140,notice
141,i
142,try
143,show
144,you
145,song
146,meant
147,keep
148,you
149,you're
150,supposed
151,waking
152,early
153,maybe
154,could
155,sleep
156,i'll
157,make
158,you
159,banana
160,pancakes
161,pretend
162,like
163,weekend
164,could
165,pretend
166,time
167,can't
168,you
169,see
170,raining
171,ain't
172,need
173,go
174,outside
175,ain't
176,need
177,ain't
178,need
179,rain
180,day
181,i
182,really
183,really
184,really
185,mind
186,can't
187,you
188,see
189,can't
190,you
191,see
192,we've
193,got
194,wake
195,slow
