,You And Your Heart_Jack Johnson
0,watch
1,you
2,you
3,say
4,you
5,you
6,blame
7,everyone
8,you
9,broken
10,king
11,watch
12,you
13,change
14,frame
15,watch
16,you
17,you
18,take
19,your
20,aim
21,sum
22,everything
23,you
24,your
25,heart
26,feel
27,far
28,apart
29,you
30,choose
31,you
32,take
33,you
34,got
35,break
36,make
37,feel
38,hard
39,you
40,lay
41,street
42,like
43,broken
44,glass
45,reflecting
46,pieces
47,sun
48,you're
49,flame
50,you
51,got
52,people
53,passing
54,you
55,know
56,you
57,like
58,easy
59,easy
60,you
61,your
62,heart
63,feel
64,far
65,apart
66,you
67,choose
68,you
69,take
70,you
71,got
72,break
73,make
74,feel
75,hard
76,oh
77,you
78,your
79,heart
80,feel
81,far
82,apart
83,you
84,choose
85,you
86,take
87,you
88,gotta
89,break
90,make
91,feel
92,hard
93,you
94,draw
95,many
96,lines
97,sand
98,lost
99,fingernails
100,your
101,hands
102,you
103,going
104,scratch
105,backs
106,better
107,hope
108,tide
109,take
110,lines
111,away
112,take
113,lines
114,hope
115,tide
116,take
117,lines
118,hope
119,tide
120,take
121,lines
122,away
123,take
124,lines
125,away
