,Love Sosa_Chief Keef
0,jordan
1,gilty
2,&
3,chief
4,keef
5,fuckers
6,school
7,telling
8,always
9,barber
10,shop
11,"""chief"
12,keef
13,ain't
14,'bout
15,chief
16,keef
17,ain't
18,'bout
19,boy
20,bd
21,fucking
22,lamron
23,say
24,nigga
25,putting
26,work”
27,shut
28,fuck
29,y'all
30,niggas
31,ain’t
32,know
33,shit
34,ya
35,motherfuckers
36,talk
37,“chief
38,keef
39,ain't
40,hitta
41,chief
42,keef
43,ain't
44,chief
45,keef
46,fake”
47,shut
48,fuck
49,y'all
50,nigga
51,y'all
52,know
53,nigga
54,got
55,caught
56,ratchet
57,shootin'
58,police
59,shit
60,nigga
61,probation
62,since
63,fuckin'
64,know
65,motherfucka
66,stop
67,fuckin'
68,playin'
69,like
70,niggas
71,savages
72,catch
73,another
74,motherfucker
75,talking
76,sweet
77,chief
78,keef
79,i'm
80,fucking
81,beating
82,ass
83,i'm
84,fucking
85,playing
86,y'know
87,niggas
88,roll
89,lil
90,reese
91,young
92,chop
93,beat
94,love
95,sosa
96,bitches
97,love
98,sosa
99,huh
100,raris
101,rovers
102,ayy
103,lil'
104,cobra
105,ayy
106,ayy
107,bang
108,bang
109,ayy
110,got
111,us
112,rovers
113,bitches
114,love
115,sosa
116,end
117,end
118,fuckin'
119,boys
120,gon'
121,get
122,fucked
123,raris
124,rovers
125,hoes
126,love
127,chief
128,sosa
129,hit
130,cobra
131,boy
132,slumped
133,sosa
134,boys
135,ain't
136,making
137,noise
138,y'all
139,know
140,i'm
141,grown
142,boy
143,clique
144,full
145,broke
146,boys
147,god
148,y'all
149,broke
150,boys
151,god
152,y'all
153,broke
154,boys
155,gbe
156,dope
157,boys
158,got
159,lots
160,dough
161,boy
162,bitches
163,love
164,sosa
165,love
166,glo'
167,boys
168,know
169,'go
170,boy
171,cannot
172,go
173,boy
174,know
175,ol'
176,boy
177,know
178,he's
179,broke
180,boy
181,raris
182,rovers
183,convertible
184,lambos
185,boy
186,know
187,got
188,bands
189,boy
190,pants
191,boy
192,disrespect
193,boys
194,speak
195,boy
196,think
197,i'm
198,playin'
199,boy
200,use
201,hands
202,boy
203,friends
204,boy
205,collect
206,bands
207,i'm
208,landlord
209,gets
210,lots
211,commas
212,fuck
213,yo
214,mama
215,ain't
216,drama
217,meet
218,llama
219,ridin'
220,3hunna
221,three
222,hundred
223,foreigns
224,bitches
225,see
226,chief
227,sosa
228,swear
229,god
230,honored
231,bitches
232,love
233,sosa
234,end
235,end
236,fuckin'
237,boys
238,gon'
239,get
240,fucked
241,raris
242,rovers
243,hoes
244,love
245,chief
246,sosa
247,hit
248,cobra
249,boy
250,slumped
251,sosa
252,boys
253,ain't
254,making
255,noise
256,y'all
257,know
258,i'm
259,grown
260,boy
261,clique
262,full
263,broke
264,boys
265,god
266,y'all
267,broke
268,boys
269,god
270,y'all
271,broke
272,boys
273,gbe
274,dope
275,boys
276,got
277,lots
278,dough
279,boy
280,make
281,call
282,rose
283,boy
284,six
285,double-o
286,boy
287,keep
288,pole
289,boy
290,gon'
291,get
292,fucked
293,bitch
294,done
295,sell
296,soda
297,done
298,sell
299,coca
300,gon'
301,clap
302,sosa
303,gon'
304,clap
305,sosa
306,sosa
307,hoes
308,sosa
309,tadoe
310,molly
311,water
312,nigga
313,cool
314,like
315,water
316,'fore
317,get
318,hit
319,lava
320,bitch
321,i'm
322,trending
323,topic
324,care
325,price
326,i'll
327,cop
328,b
329,bitch
330,steady
331,jockin'
332,bitches
333,love
334,sosa
335,end
336,end
337,fuckin'
338,boys
339,gon'
340,get
341,fucked
342,raris
343,rovers
344,hoes
345,love
346,chief
347,sosa
348,hit
349,cobra
350,boy
351,slumped
352,sosa
353,boys
354,ain't
355,making
356,noise
357,y'all
358,know
359,i'm
360,grown
361,boy
362,clique
363,full
364,broke
365,boys
366,god
367,y'all
368,broke
369,boys
370,god
371,y'all
372,broke
373,boys
374,gbe
375,dope
376,boys
377,got
378,lots
379,dough
380,boy
