,#1 Crush_Garbage
0,i
1,would
2,die
3,you
4,i
5,would
6,die
7,you
8,i've
9,dying
10,feel
11,you
12,my
13,side
14,know
15,you're
16,mine
17,i
18,cry
19,you
20,i
21,cry
22,you
23,i
24,wash
25,away
26,your
27,pain
28,my
29,tears
30,drown
31,your
32,fear
33,i
34,pray
35,you
36,i
37,pray
38,you
39,i
40,sell
41,my
42,soul
43,something
44,pure
45,true
46,someone
47,like
48,you
49,see
50,your
51,face
52,every
53,place
54,i
55,walk
56,hear
57,your
58,voice
59,every
60,time
61,i
62,talking
63,you
64,believe
65,me
66,i
67,never
68,ignored
69,i
70,burn
71,you
72,feel
73,pain
74,you
75,i
76,twist
77,knife
78,bleed
79,my
80,aching
81,heart
82,tear
83,apart
84,i
85,lie
86,you
87,beg
88,steal
89,you
90,i
91,crawl
92,hands
93,knees
94,you
95,see
96,you're
97,like
98,me
99,violate
100,love
101,i'm
102,missing
103,blow
104,away
105,pain
106,i'm
107,living
108,you
109,believe
110,me
111,i
112,never
113,ignored
114,i
115,would
116,die
117,you
118,i
119,would
120,kill
121,you
122,i
123,would
124,steal
125,you
126,i'd
127,time
128,you
129,i
130,wait
131,you
132,i'd
133,make
134,room
135,you
136,i'd
137,sail
138,ships
139,you
140,close
141,you
142,part
143,you
144,cause
145,i
146,believe
147,you
148,i
149,believe
150,you
151,i
152,would
153,die
154,you
