,I've Got Friends_Manchester Orchestra
0,dirty
1,ground
2,i
3,need
4,i
5,got
6,another
7,one
8,tell
9,you
10,another
11,one
12,make
13,you
14,believe
15,pity
16,grass
17,i
18,tried
19,one
20,you
21,needed
22,i
23,told
24,you
25,you
26,wanted
27,something
28,bigger
29,me
30,i've
31,got
32,friends
33,right
34,places
35,i
36,know
37,want
38,i
39,know
40,want
41,me
42,stay
43,i
44,said
45,i've
46,got
47,friends
48,right
49,places
50,i
51,know
52,want
53,i
54,know
55,want
56,me
57,stay
58,'cause
59,you
60,i
61,ride
62,i
63,need
64,you
65,i
66,need
67,quickly
68,case
69,you
70,never
71,know
72,postchorus
73,i
74,can't
75,play
76,i'm
77,supposed
78,anyway
79,anyway
80,anyway
81,dirty
82,ground
83,i
84,see
85,i
86,need
87,another
88,reason
89,i
90,need
91,another
92,reason
93,tell
94,me
95,breathe
96,dirtier
97,sound
98,best
99,i
100,breathe
101,i
102,tried
103,you
104,anything
105,me
106,'cause
107,i've
108,got
109,friends
110,right
111,places
112,i
113,know
114,want
115,i
116,know
117,want
118,me
119,stay
120,i've
121,got
122,friends
123,right
124,places
125,i
126,know
127,want
128,i
129,know
130,want
131,me
132,stay
133,you
134,i
135,find
136,i
137,need
138,you
139,i
140,need
141,quickly
142,fact
143,you'll
144,never
145,know
146,oh
147,'cause
148,i've
149,got
150,friends
151,right
152,places
153,i
154,know
155,want
156,i
157,know
158,want
159,me
160,stay
161,i
162,said
163,i've
164,got
165,friends
166,right
167,places
168,i
169,know
170,want
171,i
172,know
173,want
174,me
175,stay
176,i
177,said
178,i've
179,got
180,friends
181,right
182,places
183,i
184,know
185,want
186,i
187,know
188,want
189,me
190,stay
191,stay
192,i've
193,got
194,friends
195,right
196,places
197,i
198,know
199,want
200,i
201,know
202,want
203,me
204,stay
205,stay
