,Eight Days a Week_The Beatles
0,john
1,lennon
2,ooh
3,i
4,need
5,your
6,love
7,babe
8,guess
9,you
10,know
11,true
12,hope
13,you
14,need
15,my
16,love
17,babe
18,like
19,i
20,need
21,you
22,john
23,lennon
24,paul
25,mccartney
26,hold
27,me
28,love
29,me
30,hold
31,me
32,love
33,me
34,i
35,ain't
36,got
37,nothing
38,love
39,babe
40,eight
41,days
42,week
43,john
44,lennon
45,love
46,you
47,everyday
48,girl
49,always
50,my
51,mind
52,one
53,thing
54,i
55,say
56,girl
57,love
58,you
59,time
60,john
61,lennon
62,paul
63,mccartney
64,hold
65,me
66,love
67,me
68,hold
69,me
70,love
71,me
72,i
73,ain't
74,got
75,nothing
76,love
77,girl
78,eight
79,days
80,week
81,john
82,lennon
83,paul
84,mccartney
85,eight
86,days
87,week
88,i
89,love
90,you
91,eight
92,days
93,week
94,enough
95,show
96,i
97,care
98,john
99,lennon
100,ooh
101,i
102,need
103,your
104,love
105,babe
106,guess
107,you
108,know
109,true
110,hope
111,you
112,need
113,my
114,love
115,babe
116,like
117,i
118,need
119,you
120,john
121,lennon
122,paul
123,mccartney
124,hold
125,me
126,love
127,me
128,hold
129,me
130,love
131,me
132,i
133,ain't
134,got
135,nothing
136,love
137,babe
138,eight
139,days
140,week
141,john
142,lennon
143,paul
144,mccartney
145,eight
146,days
147,week
148,i
149,love
150,you
151,eight
152,days
153,week
154,enough
155,show
156,i
157,care
158,john
159,lennon
160,love
161,you
162,everyday
163,girl
164,always
165,my
166,mind
167,one
168,thing
169,i
170,say
171,girl
172,love
173,you
174,time
175,john
176,lennon
177,paul
178,mccartney
179,hold
180,me
181,love
182,me
183,hold
184,me
185,love
186,me
187,i
188,ain't
189,got
190,nothing
191,love
192,babe
193,eight
194,days
195,week
196,eight
197,days
198,week
199,eight
200,days
201,week
