,Gotta Have You_The Weepies
0,gray
1,quiet
2,tired
3,mean
4,picking
5,worried
6,seam
7,i
8,try
9,make
10,you
11,mad
12,me
13,phone
14,red
15,eyes
16,fires
17,signs
18,i'm
19,taken
20,nursery
21,rhyme
22,i
23,want
24,make
25,ray
26,sunshine
27,never
28,leave
29,home
30,amount
31,coffee
32,amount
33,crying
34,amount
35,whiskey
36,amount
37,wine
38,nothing
39,else
40,i've
41,gotta
42,you
43,i've
44,gotta
45,you
46,road
47,gets
48,cold
49,there's
50,spring
51,meadow
52,year
53,i'm
54,new
55,chicken
56,clucking
57,open
58,hearts
59,ears
60,oh
61,prima
62,donna
63,sorry
64,myself
65,green
66,also
67,summer
68,i
69,warm
70,till
71,i'm
72,lying
73,your
74,arms
75,amount
76,coffee
77,amount
78,crying
79,amount
80,whiskey
81,amount
82,wine
83,nothing
84,else
85,i've
86,gotta
87,you
88,i've
89,gotta
90,you
91,i
92,see
93,telescope
94,guitar
95,suitcase
96,warm
97,coat
98,lying
99,back
100,blue
101,boat
102,humming
103,tune
104,amount
105,coffee
106,amount
107,crying
108,amount
109,whiskey
110,wine
111,nothing
112,else
113,i've
114,gotta
115,you
116,i've
117,gotta
118,amount
119,coffee
120,amount
121,crying
122,amount
123,whiskey
124,amount
125,wine
126,nothing
127,else
128,i've
129,gotta
130,you
131,i've
132,gotta
133,you
134,i've
135,gotta
136,you
137,i've
138,gotta
139,you
140,i've
141,gotta
142,you
