,Lovesong_Adele
0,whenever
1,i'm
2,alone
3,you
4,you
5,make
6,me
7,feel
8,like
9,i
10,home
11,whenever
12,i'm
13,alone
14,you
15,you
16,make
17,me
18,feel
19,like
20,i
21,whole
22,whenever
23,i'm
24,alone
25,you
26,you
27,make
28,me
29,feel
30,like
31,i
32,young
33,whenever
34,i'm
35,alone
36,you
37,you
38,make
39,me
40,feel
41,like
42,i
43,fun
44,however
45,far
46,away
47,i
48,always
49,love
50,you
51,however
52,long
53,i
54,stay
55,i
56,always
57,love
58,you
59,whatever
60,words
61,i
62,say
63,i
64,always
65,love
66,you
67,i
68,always
69,love
70,you
71,whenever
72,i'm
73,alone
74,you
75,you
76,make
77,me
78,feel
79,like
80,i
81,free
82,whenever
83,i'm
84,alone
85,you
86,you
87,make
88,me
89,feel
90,like
91,i
92,clean
93,however
94,far
95,away
96,i
97,always
98,love
99,you
100,however
101,long
102,i
103,stay
104,i
105,always
106,love
107,you
108,whatever
109,words
110,i
111,say
112,i
113,always
114,love
115,you
116,i
117,always
118,love
119,you
120,however
121,far
122,away
123,i
124,always
125,love
126,you
127,however
128,long
129,i
130,stay
131,i
132,always
133,love
134,you
135,whatever
136,words
137,i
138,say
139,i
140,always
141,love
142,you
143,i'll
144,always
145,love
146,you
147,i'll
148,always
149,love
150,you
151,'cause
152,i
153,love
154,you
155,love
156,love
