,Love Ridden_Fiona Apple
0,love
1,ridden
2,i've
3,looked
4,focus
5,gave
6,birthday
7,candles
8,i've
9,wished
10,lidded
11,blue
12,flames
13,brow
14,baby
15,wished
16,nobody
17,sees
18,lyin'
19,bed
20,wanna
21,crawl
22,cry
23,instead
24,want
25,warm
26,make
27,colder
28,can't
29,tonight
30,baby
31,"""baby"""
32,anymore
33,need
34,i'll
35,use
36,simple
37,name
38,kisses
39,cheek
40,little
41,we'll
42,wave
43,bridge
44,hand
45,hold
46,path
47,clear
48,follow
49,stood
50,long
51,way
52,door
53,i'm
54,giving
55,"""baby"""
56,anymore
57,need
58,i'll
59,use
60,simple
61,name
62,kisses
63,cheek
64,little
65,we'll
66,wave
67,"""baby"""
68,anymore
69,need
70,i'll
71,use
72,simple
73,name
74,kisses
75,cheek
76,little
77,we'll
78,wave
