,Born to Make You Happy_Britney Spears
0,oh
1,love
2,oh
3,yeah
4,yeah
5,oh
6,yeah
7,i'm
8,sitting
9,alone
10,room
11,i'm
12,thinking
13,'bout
14,times
15,we've
16,oh
17,love
18,i'm
19,looking
20,picture
21,hand
22,trying
23,best
24,understand
25,really
26,wanna
27,know
28,wrong
29,love
30,felt
31,strong
32,pre-chorus
33,tonight
34,know
35,could
36,make
37,right
38,know
39,live
40,without
41,love
42,born
43,make
44,happy
45,'cause
46,one
47,heart
48,born
49,make
50,happy
51,always
52,forever
53,that's
54,way
55,life
56,know
57,live
58,without
59,love
60,born
61,make
62,happy
63,know
64,i've
65,fool
66,since
67,gone
68,i'd
69,better
70,give
71,carry
72,oh
73,love
74,'cause
75,living
76,dream
77,way
78,life
79,wanna
80,cry
81,tear
82,forgive
83,ooh
84,pre-chorus
85,tonight
86,know
87,could
88,make
89,right
90,know
91,live
92,without
93,love
94,born
95,make
96,happy
97,'cause
98,one
99,heart
100,born
101,make
102,happy
103,always
104,forever
105,that's
106,way
107,life
108,know
109,live
110,without
111,love
112,born
113,make
114,happy
115,bridge
116,oh
117,yeah
118,oh
119,yeah
120,i'd
121,anything
122,i'd
123,give
124,world
125,i'd
126,wait
127,forever
128,girl
129,call
130,name
131,call
132,name
133,ooh
134,show
135,much
136,care
137,alright
138,ooh
139,born
140,make
141,happy
142,yeah
143,ooh
144,ooh
145,yeah
146,know
147,live
148,without
149,love
150,born
151,make
152,happy
153,'cause
154,one
155,heart
156,born
157,make
158,happy
159,always
160,forever
161,that's
162,way
163,life
164,know
165,live
166,without
167,love
168,born
169,make
170,happy
171,outro
172,born
173,make
174,happy
175,oh
176,yeah
177,oh
178,oh
179,yeah
180,always
181,forever
182,that's
183,way
184,life
185,know
186,live
187,without
188,love
189,born
190,make
191,happy
