,Why Am I the One_fun.
0,got
1,enough
2,mind
3,pulls
4,hair
5,much
6,hold
7,onto
8,keeping
9,count
10,hand
11,one
12,two
13,three
14,days
15,sleeping
16,side
17,finished
18,kissing
19,death
20,head
21,back
22,steps
23,thinking
24,i've
25,mean
26,sun
27,never
28,like
29,wanna
30,feel
31,season
32,guess
33,makes
34,sense
35,cause
36,life's
37,become
38,vapid
39,night
40,los
41,angeles
42,want
43,stay
44,bed
45,prechorus
46,hold
47,like
48,used
49,know
50,home
51,darling
52,love
53,would
54,let
55,know
56,go
57,go
58,go
59,thinking
60,worst
61,yet
62,come
63,one
64,always
65,packing
66,stuff
67,get
68,feeling
69,i'm
70,right
71,belong
72,one
73,always
74,packing
75,stuff
76,got
77,enough
78,mind
79,feel
80,sorrow
81,let
82,fate
83,fill
84,air
85,rollin
86,window
87,never
88,one
89,hold
90,need
91,last
92,breath
93,ask
94,remembers
95,used
96,come
97,visit
98,fools
99,think
100,nothing
101,could
102,go
103,wrong
104,go
105,go
106,go
107,thinking
108,worst
109,yet
110,come
111,one
112,always
113,packing
114,stuff
115,get
116,feeling
117,i'm
118,right
119,belong
120,one
121,always
122,packing
123,stuff
124,think
125,kinda
126,like
127,might
128,much
129,i'll
130,move
131,back
132,western
133,town
134,find
135,make
136,mistake
137,i'll
138,move
139,back
140,western
141,town
142,find
143,make
144,mistake
145,i'll
146,move
147,back
148,western
149,town
150,go
151,go
152,go
153,thinking
154,worst
155,yet
156,come
157,one
158,always
159,packing
160,stuff
161,go
162,go
163,go
164,thinking
165,worst
166,yet
167,come
168,one
169,always
170,packing
171,stuff
172,get
173,feeling
174,i'm
175,right
176,belong
177,one
178,always
179,packing
180,stuff
181,think
182,kinda
183,like
184,might
185,much
186,i'll
187,move
188,back
189,see
190,stars
191,that's
192,hear
193,song
194,see
195,stars
196,that's
197,hear
198,song
199,see
200,stars
201,that's
202,see
203,stars
204,that's
205,hear
206,song
