,Like Someone in Love_Björk
0,lately
1,i
2,find
3,myself
4,gazing
5,stars
6,hearing
7,guitars
8,like
9,someone
10,love
11,sometimes
12,things
13,i
14,astound
15,me
16,mostly
17,whenever
18,you're
19,around
20,me
21,lately
22,i
23,seem
24,walk
25,though
26,i
27,wings
28,bump
29,things
30,like
31,someone
32,love
33,time
34,i
35,look
36,you
37,i'm
38,limp
39,glove
40,feeling
41,like
42,someone
43,love
44,sometimes
45,things
46,i
47,astound
48,me
49,mostly
50,whenever
51,you're
52,around
53,me
54,lately
55,i
56,seem
57,walk
58,though
59,i
60,wings
61,bump
62,things
63,like
64,someone
65,love
66,time
67,i
68,look
69,you
70,i'm
71,limp
72,glove
73,feeling
74,like
75,someone
76,love
77,like
78,someone
79,love
80,like
81,someone
82,love
