,Just The Way You Are_Barry White
0,speaking
1,i
2,never
3,take
4,anything
5,granted
6,fool
7,maybe
8,takes
9,things
10,granted
11,today
12,gone
13,tomorrow
14,that's
15,one
16,thing
17,you
18,never
19,your
20,life
21,ever
22,worry
23,me
24,i'll
25,ever
26,change
27,towards
28,you
29,baby
30,i
31,love
32,you
33,yeah
34,i
35,love
36,you
37,way
38,you
39,go
40,changing
41,trying
42,please
43,me
44,you
45,never
46,let
47,me
48,i
49,imagine
50,you're
51,familiar
52,i
53,see
54,you
55,anymore
56,i
57,would
58,leave
59,you
60,times
61,trouble
62,never
63,could
64,come
65,far
66,i
67,took
68,good
69,times
70,i'll
71,take
72,bad
73,times
74,i'll
75,take
76,you
77,way
78,you
79,go
80,trying
81,new
82,fashion
83,change
84,color
85,your
86,hair
87,you
88,always
89,my
90,unspoken
91,passion
92,although
93,i
94,might
95,seem
96,care
97,i
98,want
99,clever
100,conversation
101,i
102,want
103,work
104,hard
105,i
106,want
107,someone
108,talk
109,i
110,want
111,you
112,way
113,you
114,i
115,need
116,know
117,you
118,always
119,old
120,someone
121,i
122,knew
123,take
124,till
125,you
126,believe
127,me
128,way
129,i
130,believe
131,you
132,i
133,said
134,i
135,love
136,you
137,that's
138,forever
139,i
140,promise
141,my
142,heart
143,i
144,could
145,love
146,you
147,better
148,i
149,love
150,you
151,way
152,you
