,Candy_Paolo Nutini
0,perched
1,outside
2,pouring
3,rain
4,trying
5,make
6,sail
7,i'll
8,float
9,darlin'
10,evening
11,tail
12,although
13,honest
14,means
15,travel
16,gets
17,nonetheless
18,i'm
19,heartless
20,man
21,worst
22,babe
23,helpless
24,one
25,best
26,darling
27,i'll
28,bathe
29,skin
30,i'll
31,even
32,wash
33,clothes
34,give
35,candy
36,go
37,oh
38,darling
39,i'll
40,kiss
41,eyes
42,lay
43,rug
44,give
45,candy
46,hug
47,oh
48,i'm
49,often
50,false
51,explaining
52,plays
53,although
54,i'm
55,left
56,defeated
57,gets
58,held
59,name
60,know
61,got
62,plenty
63,offer
64,baby
65,guess
66,i've
67,taken
68,quite
69,enough
70,well
71,i'm
72,stain
73,bed
74,sheet
75,diamond
76,rough
77,darling
78,i'll
79,bathe
80,skin
81,i'll
82,even
83,wash
84,clothes
85,give
86,candy
87,go
88,oh
89,darling
90,i'll
91,kiss
92,eyes
93,lay
94,rug
95,give
96,candy
97,hug
98,know
99,they're
100,writings
101,wall
102,darling
103,i'll
104,bathe
105,skin
106,i'll
107,even
108,wash
109,clothes
110,give
111,candy
112,go
113,oh
114,darling
115,i'll
116,kiss
117,eyes
118,lay
119,rug
120,give
121,candy
122,hug
123,bridge
124,oh
125,i'll
126,waiting
127,oh
128,i'll
129,waiting
130,oh
131,i'll
132,waiting
133,oh
134,i'll
135,waiting
136,oh
137,i'll
138,waiting
139,oh
140,i'll
141,waiting
142,outro
143,oh
144,i'll
145,waiting
146,cutthroats
147,jagged
148,ends
149,got
150,waiting
151,waiting
152,oh
153,i'll
154,waiting
155,cheap
156,sugary
157,philosophies
158,got
159,fence
160,waiting
161,waiting
162,oh
163,i'll
164,waiting
165,angels
166,halos
167,keep
168,waiting
169,waiting
170,oh
171,i'll
172,waiting
173,cutthroats
174,jagged
175,ends
176,got
177,waiting
178,waiting
179,oh
180,i'll
181,waiting
182,cheap
183,sugary
184,philosophies
185,got
186,fence
187,waiting
188,waiting
189,oh
190,i'll
191,waiting
192,angels
193,halos
194,keep
195,waiting
196,waiting
