,Me vs. Maradona vs. Elvis_Brand New
0,one
1,two
2,i
3,get
4,used
5,room
6,go
7,slow
8,first
9,make
10,moves
11,five
12,six
13,bring
14,you
15,car
16,number
17,nine
18,my
19,head
20,bar
21,sad
22,true
23,cash
24,ious
25,i
26,got
27,desperate
28,desires
29,unadmirable
30,plans
31,my
32,tongue
33,taste
34,gin
35,malicious
36,intent
37,bring
38,you
39,back
40,bar
41,get
42,you
43,cold
44,my
45,sober
46,straight
47,face
48,gets
49,you
50,your
51,clothes
52,they're
53,scared
54,know
55,crimes
56,they'll
57,commit
58,they'll
59,kiss
60,get
61,home
62,i
63,lie
64,awake
65,lie
66,fun
67,fake
68,way
69,i
70,hold
71,you
72,let
73,you
74,fall
75,every
76,empty
77,word
78,i
79,say
80,barely
81,conscious
82,door
83,you
84,stand
85,your
86,eyes
87,fighting
88,sleep
89,your
90,mouth
91,makes
92,your
93,demands
94,you
95,laugh
96,every
97,word
98,trying
99,hard
100,cute
101,i
102,almost
103,feel
104,sorry
105,i'm
106,gonna
107,your
108,hair
109,smells
110,smoke
111,cast
112,first
113,stone
114,you
115,sin
116,spend
117,night
118,alone
119,brass
120,buttons
121,your
122,coat
123,hold
124,cold
125,shape
126,heart
127,cut
128,stone
129,you're
130,using
131,your
132,looks
133,you've
134,thrown
135,start
136,you
137,let
138,me
139,my
140,way
141,i
142,swear
143,i'll
144,tear
145,you
146,apart
147,cause
148,you
149,you're
150,drunk
151,you're
152,scared
153,ladies
154,night
155,girls
156,drink
157,free
158,i
159,lie
160,awake
161,lie
162,fun
163,fake
164,way
165,i
166,hold
167,you
168,let
169,you
170,fall
171,every
172,empty
173,word
174,i
175,say
176,i
177,lie
178,awake
179,lie
180,fun
181,fake
182,way
183,i
184,hold
185,you
186,let
187,you
188,fall
189,every
190,empty
191,word
192,i
193,say
