,Love Me Harder_Ariana Grande
0,ariana
1,grande
2,tell
3,me
4,something
5,i
6,need
7,know
8,take
9,my
10,breath
11,never
12,let
13,go
14,you
15,let
16,me
17,invade
18,your
19,space
20,i’ll
21,take
22,pleasure
23,take
24,pain
25,moment
26,i
27,bite
28,my
29,lip
30,baby
31,moment
32,you’ll
33,know
34,something
35,bigger
36,us
37,beyond
38,bliss
39,give
40,me
41,reason
42,believe
43,ariana
44,grande
45,'cause
46,you
47,want
48,keep
49,me
50,you
51,gotta
52,gotta
53,gotta
54,gotta
55,got
56,love
57,me
58,harder
59,you
60,really
61,need
62,me
63,you
64,gotta
65,gotta
66,gotta
67,gotta
68,got
69,love
70,me
71,harder
72,lolove
73,me
74,harder
75,oohoohoohooh
76,love
77,me
78,love
79,me
80,love
81,me
82,oohoohoohooh
83,harder
84,harder
85,harder
86,weeknd
87,i
88,know
89,your
90,motives
91,you
92,know
93,mine
94,ones
95,love
96,me
97,i
98,tend
99,leave
100,behind
101,you
102,know
103,me
104,choose
105,stay
106,take
107,pleasure
108,take
109,pain
110,moment
111,you
112,bite
113,your
114,lip
115,i
116,get
117,you
118,moaning
119,you
120,know
121,real
122,you
123,feel
124,pressure
125,your
126,hips
127,i’ll
128,make
129,feel
130,like
131,first
132,time
133,ariana
134,grande
135,weeknd
136,'cause
137,you
138,want
139,keep
140,me
141,you
142,gotta
143,gotta
144,gotta
145,gotta
146,got
147,love
148,me
149,harder
150,i'ma
151,love
152,you
153,harder
154,hey
155,you
156,really
157,need
158,me
159,you
160,gotta
161,gotta
162,gotta
163,gotta
164,got
165,love
166,me
167,harder
168,love
169,me
170,baby
171,love
172,me
173,lolove
174,me
175,harder
176,oohoohoohooh
177,love
178,me
179,love
180,me
181,love
182,me
183,oohoohoohooh
184,harder
185,harder
186,harder
187,oh
188,oohoohoohooh
189,love
190,me
191,love
192,me
193,love
194,me
195,oohoohoohooh
196,harder
197,harder
198,harder
199,you
200,gotta
201,love
202,me
203,harder
204,weeknd
205,ariana
206,grande
207,i
208,i
209,can’t
210,figure
211,figure
212,you
213,got
214,try
215,try
216,try
217,yeah
218,oh
219,whoa
220,i
221,i
222,can’t
223,figure
224,figure
225,i’m
226,gonna
227,leave
228,leave
229,leave
230,ariana
231,grande
232,weeknd
233,'cause
234,you
235,want
236,keep
237,me
238,hey
239,you
240,gotta
241,gotta
242,gotta
243,gotta
244,got
245,love
246,me
247,harder
248,i'ma
249,love
250,you
251,love
252,you
253,love
254,you
255,really
256,need
257,me
258,ooh
259,you
260,gotta
261,gotta
262,gotta
263,gotta
264,got
265,love
266,me
267,harder
268,got
269,love
270,me
271,baby
272,'cause
273,you
274,want
275,keep
276,me
277,hey
278,you
279,gotta
280,gotta
281,gotta
282,gotta
283,got
284,love
285,me
286,harder
287,love
288,me
289,harder
290,love
291,me
292,harder
293,you
294,really
295,need
296,me
297,you
298,gotta
299,gotta
300,gotta
301,gotta
302,i'ma
303,got
304,love
305,me
306,harder
307,i'ma
308,love
309,you
310,harder
311,hey
312,ariana
313,grande
314,weeknd
315,oohoohoohooh
316,love
317,me
318,love
319,me
320,love
321,me
322,love
323,me
324,oohoohoohooh
325,harder
326,harder
327,harder
328,boy
329,you
330,gotta
331,love
332,me
333,love
334,me
335,baby
336,oohoohoohooh
337,love
338,me
339,love
340,me
341,love
342,me
343,little
344,bit
345,harder
346,harder
347,baby
348,oohoohoohooh
349,harder
350,harder
351,harder
