,I Swear_All-4-One
0,i
1,swear
2,moon
3,stars
4,sky
5,i
6,swear
7,like
8,shadow
9,that's
10,your
11,side
12,i
13,see
14,questions
15,your
16,eyes
17,i
18,know
19,what's
20,weighing
21,your
22,mind
23,you
24,sure
25,i
26,know
27,my
28,part
29,cause
30,i
31,stand
32,beside
33,you
34,years
35,you'll
36,cry
37,happy
38,tears
39,though
40,i
41,make
42,mistakes
43,i'll
44,never
45,break
46,your
47,heart
48,i
49,swear
50,moon
51,stars
52,sky
53,i'll
54,i
55,swear
56,like
57,shadow
58,that's
59,your
60,side
61,i'll
62,better
63,worse
64,till
65,death
66,us
67,part
68,i'll
69,love
70,you
71,every
72,beat
73,my
74,heart
75,i
76,swear
77,oooh
78,i'll
79,give
80,you
81,everything
82,i
83,i'll
84,build
85,your
86,dreams
87,two
88,hands
89,we'll
90,hang
91,memories
92,walls
93,two
94,us
95,you
96,ask
97,i
98,still
99,care
100,cause
101,time
102,turns
103,page
104,my
105,love
106,age
107,i
108,swear
109,i
110,swear
111,moon
112,stars
113,sky
114,i'll
115,i'll
116,i
117,swear
118,i
119,swear
120,like
121,shadow
122,that's
123,your
124,side
125,i'll
126,i'll
127,better
128,worse
129,'til
130,death
131,us
132,part
133,i'll
134,love
135,you
136,every
137,beat
138,my
139,heart
140,i
141,swear
142,oh
143,yeah
144,i
145,swear
146,i
147,swear
148,moon
149,stars
150,sky
151,i'll
152,i'll
153,i
154,swear
155,like
156,shadow
157,that's
158,your
159,side
160,i'll
161,i'll
162,better
163,worse
164,better
165,worse
166,till
167,death
168,us
169,part
170,oh
171,i'll
172,love
173,you
174,every
175,single
176,beat
177,my
178,heart
179,i
180,swear
181,i
182,swear
183,oh
184,i
185,swear
