,Love You Like a Love Song_Selena Gomez & the Scene
0,said
1,done
2,every
3,beautiful
4,thought's
5,already
6,sung
7,i
8,guess
9,right
10,here's
11,another
12,one
13,your
14,melody
15,play
16,best
17,'em
18,you
19,beautiful
20,like
21,dream
22,come
23,alive
24,incredible
25,centerfold
26,miracle
27,lyrical
28,you
29,saved
30,my
31,life
32,i
33,want
34,you
35,know
36,baby
37,i
38,i
39,love
40,you
41,like
42,love
43,song
44,baby
45,i
46,i
47,love
48,you
49,like
50,love
51,song
52,baby
53,i
54,i
55,love
56,you
57,like
58,love
59,song
60,baby
61,i
62,keep
63,hitting
64,repeatpeatpeatpeatpeatpeat
65,oh
66,i
67,i
68,love
69,you
70,like
71,love
72,song
73,baby
74,oh
75,i
76,i
77,love
78,you
79,like
80,love
81,song
82,baby
83,oh
84,i
85,i
86,love
87,you
88,like
89,love
90,song
91,baby
92,oh
93,i
94,keep
95,hitting
96,repeatpeatpeatpeatpeatpeat
97,constantly
98,boy
99,you
100,play
101,my
102,mind
103,like
104,symphony
105,there's
106,way
107,describe
108,you
109,me
110,you
111,me
112,you
113,feels
114,like
115,i've
116,rescued
117,i've
118,set
119,free
120,i
121,hypnotized
122,your
123,destiny
124,you
125,magical
126,lyrical
127,beautiful
128,you
129,i
130,want
131,you
132,know
133,baby
134,i
135,i
136,love
137,you
138,like
139,love
140,song
141,baby
142,i
143,i
144,love
145,you
146,like
147,love
148,song
149,baby
150,i
151,i
152,love
153,you
154,like
155,love
156,song
157,baby
158,i
159,keep
160,hitting
161,repeatpeatpeatpeatpeatpeat
162,oh
163,i
164,i
165,love
166,you
167,like
168,love
169,song
170,baby
171,i
172,i
173,love
174,you
175,like
176,love
177,song
178,baby
179,i
180,i
181,love
182,you
183,like
184,love
185,song
186,baby
187,i
188,love
189,you
190,i
191,love
192,you
193,like
194,love
195,song
196,i
197,keep
198,hitting
199,repeatpeatpeatpeatpeatpeat
200,one
201,compares
202,you
203,stand
204,alone
205,every
206,record
207,i
208,music
209,my
210,heart
211,that's
212,you
213,song
214,goes
215,i
216,i
217,love
218,you
219,like
220,love
221,song
222,baby
223,i
224,i
225,love
226,you
227,like
228,love
229,song
230,baby
231,i
232,love
233,you
234,i
235,i
236,love
237,you
238,like
239,love
240,song
241,baby
242,i
243,love
244,you
245,i
246,keep
247,hitting
248,repeatpeatpeatpeatpeatpeat
249,like
250,love
251,song
252,like
253,love
254,song
255,i
256,i
257,love
258,you
259,like
260,love
261,song
262,baby
263,i
264,i
265,love
266,you
267,like
268,love
269,song
270,baby
271,i
272,i
273,love
274,you
275,like
276,love
277,song
278,baby
279,i
280,love
281,you
282,i
283,love
284,you
285,like
286,love
287,song
