,Hate Me_Blue October
0,girls
1,singing
2,you're
3,sleeping
4,you
5,dreaming
6,you're
7,dreaming
8,you
9,dreaming
10,me
11,i
12,can't
13,believe
14,you
15,actually
16,picked
17,me
18,justin's
19,mother
20,”hi
21,justin
22,your
23,mother
24,233
25,monday
26,afternoon
27,i
28,calling
29,see
30,you
31,you
32,sounded
33,really
34,uptight
35,last
36,night
37,made
38,me
39,little
40,nervous
41,l
42,well
43,made
44,me
45,nervous
46,sounded
47,like
48,you
49,nervous
50,i
51,wanted
52,make
53,sure
54,you
55,really
56,okay
57,wanted
58,see
59,you
60,checking
61,your
62,medication
63,you
64,know
65,i
66,love
67,you
68,take
69,care
70,honey
71,i
72,know
73,you're
74,lot
75,pressure
76,see
77,ya
78,bye
79,bye”
80,i
81,block
82,thoughts
83,you
84,i
85,don’t
86,lose
87,my
88,head
89,crawl
90,like
91,cockroach
92,leaving
93,babies
94,my
95,bed
96,dropping
97,little
98,reels
99,tape
100,remind
101,me
102,i’m
103,alone
104,playing
105,movies
106,my
107,head
108,make
109,porno
110,feel
111,like
112,home
113,there's
114,burning
115,my
116,pride
117,nervous
118,bleeding
119,my
120,brain
121,ounce
122,peace
123,i
124,want
125,you
126,you
127,never
128,call
129,you
130,never
131,say
132,you
133,loved
134,me
135,put
136,my
137,face
138,you
139,never
140,try
141,reach
142,me
143,i
144,wanted
145,space
146,hate
147,me
148,today
149,hate
150,me
151,tomorrow
152,hate
153,me
154,things
155,i
156,you
157,hate
158,me
159,ways
160,yeah
161,ways
162,hard
163,swallow
164,hate
165,me
166,you
167,finally
168,see
169,what’s
170,good
171,you
172,i’m
173,sober
174,whole
175,months
176,it’s
177,one
178,accomplishment
179,you
180,helped
181,me
182,one
183,thing
184,always
185,tore
186,us
187,apart
188,one
189,thing
190,i
191,won’t
192,touch
193,sick
194,way
195,i
196,want
197,thank
198,you
199,holding
200,my
201,head
202,late
203,night
204,i
205,busy
206,waging
207,wars
208,myself
209,you
210,trying
211,stop
212,fight
213,you
214,never
215,doubted
216,my
217,warped
218,opinions
219,things
220,like
221,suicidal
222,hate
223,you
224,made
225,me
226,compliment
227,myself
228,way
229,hard
230,take
231,i’ll
232,drive
233,fucking
234,far
235,away
236,i
237,never
238,cross
239,your
240,mind
241,whatever
242,takes
243,your
244,heart
245,leave
246,me
247,behind
248,hate
249,me
250,today
251,hate
252,me
253,tomorrow
254,hate
255,me
256,things
257,i
258,you
259,hate
260,me
261,ways
262,yeah
263,ways
264,hard
265,swallow
266,hate
267,me
268,you
269,finally
270,see
271,what’s
272,good
273,you
274,sad
275,heart
276,i
277,say
278,bye
279,you
280,wave
281,kicking
282,shadows
283,street
284,every
285,mistake
286,i
287,made
288,like
289,baby
290,boy
291,i
292,never
293,man
294,i
295,saw
296,your
297,blue
298,eyes
299,cry
300,i
301,held
302,your
303,face
304,my
305,hand
306,i
307,fell
308,yelling
309,“make
310,go
311,away”
312,make
313,smile
314,come
315,back
316,shine
317,like
318,used
319,she
320,whispered
321,“how
322,you
323,me”
324,hate
325,me
326,today
327,hate
328,me
329,tomorrow
330,hate
331,me
332,things
333,i
334,you
335,hate
336,me
337,ways
338,yeah
339,ways
340,hard
341,swallow
342,hate
343,me
344,you
345,finally
346,see
347,what’s
348,good
349,you
350,you
351,you
352,you
353,girls
354,singing
355,you're
356,sleeping
357,you
358,dreaming
359,you're
360,dreaming
361,you
362,dreaming
363,me
364,i
365,can't
366,believe
367,you
368,actually
369,picked
370,me
371,justin's
372,mother
373,hey
374,justin
375,x12
