,The Longest Time_Billy Joel
0,whoa
1,oh
2,oh
3,oh
4,longest
5,longest
6,time
7,whoa
8,oh
9,oh
10,longest
11,longest
12,time
13,you
14,said
15,goodbye
16,me
17,tonight
18,would
19,still
20,music
21,left
22,write
23,else
24,could
25,i
26,i'm
27,inspired
28,you
29,happened
30,longest
31,time
32,i
33,thought
34,my
35,innocence
36,gone
37,i
38,know
39,happiness
40,goes
41,that's
42,you
43,found
44,me
45,you
46,put
47,your
48,arms
49,around
50,me
51,i
52,longest
53,time
54,whoa
55,oh
56,oh
57,oh
58,longest
59,longest
60,time
61,whoa
62,oh
63,oh
64,longest
65,longest
66,time
67,i'm
68,voice
69,you're
70,hearing
71,hall
72,greatest
73,miracle
74,i
75,need
76,you
77,you
78,needed
79,me
80,happened
81,longest
82,time
83,maybe
84,last
85,long
86,you
87,feel
88,right
89,i
90,could
91,wrong
92,maybe
93,i've
94,hoping
95,hard
96,i've
97,gone
98,far
99,i
100,hoped
101,knows
102,much
103,we'll
104,go
105,maybe
106,i'll
107,sorry
108,you're
109,gone
110,i'll
111,take
112,my
113,chances
114,i
115,forgot
116,nice
117,romance
118,i
119,longest
120,time
121,i
122,second
123,thoughts
124,start
125,i
126,said
127,myself
128,hold
129,your
130,heart
131,i
132,know
133,woman
134,you
135,you're
136,wonderful
137,far
138,i
139,hoped
140,i
141,care
142,consequence
143,brings
144,i
145,fool
146,lesser
147,things
148,i
149,want
150,you
151,bad
152,i
153,think
154,you
155,ought
156,know
157,i
158,intend
159,hold
160,you
161,longest
162,time
163,whoa
164,oh
165,oh
166,oh
167,longest
168,longest
169,time
170,whoa
171,oh
172,oh
173,longest
174,longest
175,time
176,whoa
177,oh
178,oh
179,longest
180,longest
181,time
182,whoa
183,oh
184,oh
185,longest
186,longest
187,time
