,Cautioners_Jimmy Eat World
0,time
1,i
2,would
3,spend
4,pictures
5,i
6,would
7,send
8,i
9,watched
10,you
11,go
12,left
13,right
14,i
15,followed
16,you
17,night
18,across
19,my
20,blinds
21,you'll
22,change
23,your
24,mind
25,come
26,monday
27,turn
28,your
29,back
30,me
31,you'll
32,take
33,your
34,steps
35,away
36,hesitance
37,you'll
38,take
39,your
40,steps
41,away
42,me
43,i'm
44,making
45,my
46,peace
47,i'm
48,making
49,distance
50,maybe
51,that's
52,big
53,mistake
54,you
55,know
56,i'm
57,thinking
58,you
59,i
60,miss
61,you
62,you'll
63,change
64,your
65,mind
66,come
67,monday
68,turn
69,your
70,back
71,me
72,you'll
73,take
74,your
75,steps
76,away
77,hesitance
78,you'll
79,take
80,your
81,steps
82,away
83,me
84,nonlyrical
85,you'll
86,change
87,your
88,mind
89,come
90,monday
91,turn
92,your
93,back
94,me
95,you'll
96,take
97,your
98,steps
99,away
100,hesitance
101,you'll
102,take
103,your
104,steps
105,away
106,me
