,My All_Mariah Carey
0,i
1,thinking
2,you
3,my
4,sleepless
5,solitude
6,tonight
7,wrong
8,love
9,you
10,my
11,heart
12,let
13,me
14,right
15,'cause
16,i've
17,drowned
18,you
19,i
20,pull
21,without
22,you
23,my
24,side
25,i'd
26,give
27,my
28,one
29,night
30,you
31,i'd
32,risk
33,my
34,life
35,feel
36,your
37,body
38,next
39,mine
40,'cause
41,i
42,can't
43,go
44,living
45,memory
46,song
47,i'd
48,give
49,my
50,your
51,love
52,tonight
53,baby
54,you
55,feel
56,me
57,imagining
58,i'm
59,looking
60,your
61,eyes
62,i
63,see
64,you
65,clearly
66,vividly
67,emblazoned
68,my
69,mind
70,yet
71,you're
72,far
73,like
74,distant
75,star
76,i'm
77,wishing
78,tonight
79,i'd
80,give
81,my
82,one
83,night
84,you
85,i'd
86,risk
87,my
88,life
89,feel
90,your
91,body
92,next
93,mine
94,'cause
95,i
96,can't
97,go
98,living
99,memory
100,song
101,i'd
102,give
103,my
104,your
105,love
106,tonight
107,instrumental
108,break
109,i'd
110,give
111,my
112,one
113,night
114,you
115,i'd
116,risk
117,my
118,life
119,feel
120,your
121,body
122,next
123,mine
124,'cause
125,i
126,can't
127,go
128,living
129,memory
130,song
131,i'd
132,give
133,my
134,your
135,love
136,tonight
137,give
138,my
139,your
140,love
141,tonight
