,Skeptics And True Believers_The Academy Is...
0,scared
1,lead
2,like
3,weeks
4,selfish
5,i'm
6,sorry
7,i'm
8,gone
9,going
10,nowhere
11,fast
12,nowhere
13,fast
14,nowhere
15,fast
16,would
17,believe
18,said
19,need
20,'cause
21,believe
22,said
23,near
24,death
25,last
26,breath
27,barely
28,hanging
29,would
30,believe
31,said
32,need
33,scared
34,take
35,second
36,reflection
37,take
38,leave
39,absence
40,see
41,made
42,i'm
43,selfish
44,sorry
45,i'm
46,gone
47,going
48,nowhere
49,fast
50,who's
51,selfish
52,who's
53,sorry
54,would
55,believe
56,said
57,need
58,'cause
59,believe
60,said
61,near
62,death
63,last
64,breath
65,barely
66,hanging
67,would
68,believe
69,said
70,need
71,post-chorus
72,someone
73,aomewhere
74,said
75,things
76,may
77,sparked
78,sympathy
79,believe
80,believe
81,word
82,heard
83,bridge
84,scared
85,harder
86,scared
87,scared
88,harder
89,scared
90,harder
91,scared
92,harder
93,scared
94,would
95,believe
96,said
97,need
98,'cause
99,believe
100,said
101,near
102,death
103,last
104,breath
105,barely
106,hanging
107,would
108,believe
109,said
110,need
111,post-chorus
112,someone
113,somewhere
114,said
115,things
116,may
117,sparked
118,sympathy
119,believe
120,believe
121,word
122,heard
123,outro
124,would
125,believe
126,said
127,need
128,'cause
129,believe
130,believe
131,would
132,believe
133,said
134,need
135,'cause
136,believe
137,believe
