,"Perhaps, Perhaps, Perhaps_Cake"
0,you
1,admit
2,you
3,love
4,me
5,i
6,ever
7,know
8,you
9,tell
10,me
11,perhaps
12,perhaps
13,perhaps
14,million
15,times
16,i
17,ask
18,you
19,i
20,ask
21,you
22,you
23,answer
24,perhaps
25,perhaps
26,perhaps
27,you
28,can't
29,make
30,your
31,mind
32,we'll
33,never
34,get
35,started
36,i
37,wanna'
38,wind
39,parted
40,broken
41,hearted
42,you
43,really
44,love
45,me
46,say
47,yes
48,you
49,dear
50,confess
51,please
52,tell
53,me
54,perhaps
55,perhaps
56,perhaps
57,you
58,can't
59,make
60,your
61,mind
62,we'll
63,never
64,get
65,started
66,i
67,wanna'
68,wind
69,parted
70,broken
71,hearted
72,you
73,really
74,love
75,me
76,say
77,yes
78,you
79,dear
80,confess
81,please
82,tell
83,me
84,perhaps
85,perhaps
86,perhaps
87,perhaps
88,perhaps
89,perhaps
90,perhaps
91,perhaps
92,perhaps
