,Linger_The Cranberries
0,you
1,you
2,could
3,return
4,let
5,burn
6,let
7,fade
8,i'm
9,sure
10,i
11,might
12,rude
13,your
14,attitude
15,tearing
16,me
17,apart
18,ruining
19,everything
20,i
21,swore
22,i
23,swore
24,i
25,would
26,true
27,honey
28,you
29,you
30,holding
31,her
32,hand
33,way
34,stand
35,you
36,lying
37,time
38,game
39,you
40,i'm
41,deep
42,you
43,know
44,i'm
45,fool
46,you
47,you've
48,got
49,me
50,wrapped
51,around
52,your
53,finger
54,you
55,let
56,linger
57,you
58,you
59,you
60,let
61,linger
62,oh
63,i
64,thought
65,world
66,you
67,i
68,thought
69,nothing
70,could
71,go
72,wrong
73,i
74,wrong
75,i
76,wrong
77,you
78,you
79,could
80,get
81,trying
82,lie
83,things
84,confused
85,i
86,feel
87,used
88,you
89,always
90,really
91,knew
92,i
93,want
94,you
95,i'm
96,deep
97,you
98,know
99,i'm
100,fool
101,you
102,you've
103,got
104,me
105,wrapped
106,around
107,your
108,finger
109,you
110,let
111,linger
112,you
113,you
114,you
115,let
116,linger
117,instrumental
118,break
119,i'm
120,deep
121,you
122,know
123,i'm
124,fool
125,you
126,you've
127,got
128,me
129,wrapped
130,around
131,your
132,finger
133,you
134,let
135,linger
136,you
137,you
138,you
139,let
140,linger
141,you
142,know
143,i'm
144,fool
145,you
146,you've
147,got
148,me
149,wrapped
150,around
151,your
152,finger
153,you
154,let
155,linger
156,you
157,you
158,you
159,let
160,linger
