,Can't Help But Wait_Trey Songz
0,can’t
1,help
2,wait
3,oh
4,can’t
5,help
6,wait
7,check
8,uh
9,see
10,ain’t
11,right
12,don’t
13,trip
14,stand
15,lies
16,turn
17,right
18,round
19,forgive
20,can’t
21,take
22,see
23,face
24,tears
25,running
26,cheeks
27,gotta
28,stay
29,true
30,'cause
31,deep
32,i’m
33,still
34,g
35,prechorus
36,don’t
37,wanna
38,come
39,man
40,even
41,though
42,know
43,treat
44,better
45,girl
46,can’t
47,help
48,wait
49,'til
50,get
51,don’t
52,change
53,can’t
54,help
55,wait
56,'til
57,see
58,ain’t
59,can’t
60,help
61,wait
62,'til
63,see
64,really
65,baby
66,girl
67,star
68,can’t
69,help
70,wait
71,ain't
72,fresh
73,let
74,call
75,shots
76,you’re
77,queen
78,getting
79,someone’s
80,got
81,rocking
82,latest
83,purses
84,bracelets
85,watches
86,you’re
87,worth
88,much
89,occasional
90,'i
91,love
92,i’m
93,thinking
94,you'
95,prechorus
96,don’t
97,wanna
98,come
99,man
100,even
101,though
102,know
103,treat
104,better
105,girl
106,can’t
107,help
108,wait
109,'til
110,get
111,don’t
112,change
113,can’t
114,help
115,wait
116,'til
117,see
118,ain’t
119,can’t
120,help
121,wait
122,'til
123,see
124,really
125,baby
126,girl
127,star
128,can’t
129,help
130,wait
131,get
132,together
133,better
134,seeing
135,believing
136,see
137,need
138,i’m
139,gon'
140,play
141,position
142,let
143,catch
144,you’ve
145,missing
146,i'm
147,calling
148,girl
149,'cause
150,can’t
151,help
152,wait
153,'til
154,get
155,don’t
156,change
157,can’t
158,help
159,wait
160,'til
161,see
162,ain’t
163,can’t
164,help
165,wait
166,'til
167,see
168,really
169,baby
170,girl
171,star
172,can’t
173,help
174,wait
175,'til
176,get
177,don’t
178,change
179,can’t
180,help
181,wait
182,'til
183,see
184,ain’t
185,can’t
186,help
187,wait
188,'til
189,see
190,really
191,baby
192,girl
193,star
194,can’t
195,help
196,wait
197,can’t
198,help
199,wait
200,can’t
201,help
202,wait
203,oh
204,can’t
205,help
206,wait
